x, y, probability density 
-175.5, 175.5, 1.21017E-03 
-166.5, 175.5, 1.60643E-03 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 3.64631E-04 
-85.5, 175.5, 3.69150E-03 
-76.5, 175.5, 3.19797E-02 
-67.5, 175.5, 1.52905E-01 
-58.5, 175.5, 5.61983E-01 
-49.5, 175.5, 9.96904E-01 
-40.5, 175.5, 1.71429E+00 
-31.5, 175.5, 2.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 8.33333E-01 
49.5, 175.5, 8.85417E-01 
58.5, 175.5, 3.64316E-01 
67.5, 175.5, 1.02148E-01 
76.5, 175.5, 1.94547E-02 
85.5, 175.5, 2.14225E-03 
94.5, 175.5, 5.59180E-04 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 1.57171E-03 
175.5, 175.5, 2.87121E-03 
-175.5, 166.5, 1.93798E-03 
-166.5, 166.5, 2.26860E-04 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 4.45368E-04 
-85.5, 166.5, 4.80474E-03 
-76.5, 166.5, 3.76371E-02 
-67.5, 166.5, 1.56389E-01 
-58.5, 166.5, 4.45100E-01 
-49.5, 166.5, 8.25309E-01 
-40.5, 166.5, 1.34483E+00 
-31.5, 166.5, 2.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 5.00000E-01 
49.5, 166.5, 6.66667E-01 
58.5, 166.5, 2.79070E-01 
67.5, 166.5, 7.15580E-02 
76.5, 166.5, 1.07481E-02 
85.5, 166.5, 1.24202E-03 
94.5, 166.5, 2.21386E-04 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 4.91642E-04 
166.5, 166.5, 4.88043E-04 
175.5, 166.5, 2.38095E-03 
-175.5, 157.5, 1.29199E-03 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 1.27828E-04 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 6.68598E-04 
-85.5, 157.5, 5.40784E-03 
-76.5, 157.5, 3.51172E-02 
-67.5, 157.5, 1.46290E-01 
-58.5, 157.5, 3.87306E-01 
-49.5, 157.5, 7.07728E-01 
-40.5, 157.5, 9.97126E-01 
-31.5, 157.5, 1.06522E+00 
-22.5, 157.5, 5.00000E-01 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 1.15385E-01 
58.5, 157.5, 3.00518E-01 
67.5, 157.5, 6.31939E-02 
