x, y, probability density 
-175.5, 175.5, 2.83985E-01 
-166.5, 175.5, 8.15261E-01 
-157.5, 175.5, 9.67329E-01 
-148.5, 175.5, 6.60450E-01 
-139.5, 175.5, 5.46429E-01 
-130.5, 175.5, 5.39146E-01 
-121.5, 175.5, 5.01714E-01 
-112.5, 175.5, 5.32305E-01 
-103.5, 175.5, 4.86272E-01 
-94.5, 175.5, 3.86509E-01 
-85.5, 175.5, 4.34015E-01 
-76.5, 175.5, 5.80330E-01 
-67.5, 175.5, 7.66628E-01 
-58.5, 175.5, 9.48642E-01 
-49.5, 175.5, 1.00000E+00 
-40.5, 175.5, 7.14286E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 6.25000E-02 
58.5, 175.5, 3.52564E-02 
67.5, 175.5, 1.62445E-02 
76.5, 175.5, 6.19013E-03 
85.5, 175.5, 2.85633E-03 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 8.44238E-04 
166.5, 175.5, 7.85855E-03 
175.5, 175.5, 5.57834E-02 
-175.5, 166.5, 7.77132E-01 
-166.5, 166.5, 1.00000E+00 
-157.5, 166.5, 9.63469E-01 
-148.5, 166.5, 7.37004E-01 
-139.5, 166.5, 5.96652E-01 
-130.5, 166.5, 5.32899E-01 
-121.5, 166.5, 4.84204E-01 
-112.5, 166.5, 5.86503E-01 
-103.5, 166.5, 6.37991E-01 
-94.5, 166.5, 6.82601E-01 
-85.5, 166.5, 7.52402E-01 
-76.5, 166.5, 9.03797E-01 
-67.5, 166.5, 1.00000E+00 
-58.5, 166.5, 1.00000E+00 
-49.5, 166.5, 1.00000E+00 
-40.5, 166.5, 1.00000E+00 
-31.5, 166.5, 1.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 2.05128E-01 
58.5, 166.5, 8.37209E-02 
67.5, 166.5, 3.17029E-02 
76.5, 166.5, 1.13929E-02 
85.5, 166.5, 3.01632E-03 
94.5, 166.5, 8.85544E-04 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 0.00000E+00 
166.5, 166.5, 1.36652E-02 
175.5, 166.5, 1.29524E-01 
-175.5, 157.5, 1.00000E+00 
-166.5, 157.5, 1.00000E+00 
-157.5, 157.5, 1.00000E+00 
-148.5, 157.5, 8.76304E-01 
-139.5, 157.5, 6.33201E-01 
-130.5, 157.5, 5.49990E-01 
-121.5, 157.5, 4.66137E-01 
-112.5, 157.5, 5.79317E-01 
-103.5, 157.5, 7.15473E-01 
-94.5, 157.5, 8.11901E-01 
-85.5, 157.5, 8.83581E-01 
-76.5, 157.5, 1.00000E+00 
-67.5, 157.5, 1.00000E+00 
-58.5, 157.5, 1.00000E+00 
-49.5, 157.5, 1.00000E+00 
-40.5, 157.5, 1.00000E+00 
-31.5, 157.5, 1.00000E+00 
-22.5, 157.5, 1.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 0.00000E+00 
58.5, 157.5, 1.45078E-01 
67.5, 157.5, 5.38002E-02 
76.5, 157.5, 1.07167E-02 
