x, y, probability density 
-175.5, 175.5, 9.76200E-02 
-166.5, 175.5, 4.17671E-01 
-157.5, 175.5, 6.54709E-01 
-148.5, 175.5, 6.17408E-01 
-139.5, 175.5, 7.81633E-01 
-130.5, 175.5, 9.56109E-01 
-121.5, 175.5, 1.14599E+00 
-112.5, 175.5, 1.18209E+00 
-103.5, 175.5, 8.79140E-01 
-94.5, 175.5, 5.80492E-01 
-85.5, 175.5, 4.47462E-01 
-76.5, 175.5, 4.15355E-01 
-67.5, 175.5, 3.82072E-01 
-58.5, 175.5, 4.09091E-01 
-49.5, 175.5, 2.94118E-01 
-40.5, 175.5, 7.14286E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 4.16667E-02 
58.5, 175.5, 3.52564E-02 
67.5, 175.5, 1.51432E-02 
76.5, 175.5, 2.35814E-03 
85.5, 175.5, 1.71380E-03 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 0.00000E+00 
175.5, 175.5, 1.31255E-02 
-175.5, 166.5, 2.50969E-01 
-166.5, 166.5, 4.78221E-01 
-157.5, 166.5, 6.32147E-01 
-148.5, 166.5, 6.28937E-01 
-139.5, 166.5, 7.71328E-01 
-130.5, 166.5, 1.00031E+00 
-121.5, 166.5, 1.02740E+00 
-112.5, 166.5, 1.17955E+00 
-103.5, 166.5, 1.09186E+00 
-94.5, 166.5, 9.37352E-01 
-85.5, 166.5, 7.34615E-01 
-76.5, 166.5, 6.72743E-01 
-67.5, 166.5, 5.45584E-01 
-58.5, 166.5, 4.21501E-01 
-49.5, 166.5, 3.85144E-01 
-40.5, 166.5, 3.96552E-01 
-31.5, 166.5, 5.00000E-01 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 5.12821E-02 
58.5, 166.5, 5.58140E-02 
67.5, 166.5, 1.72101E-02 
76.5, 166.5, 6.66380E-03 
85.5, 166.5, 2.30660E-03 
94.5, 166.5, 4.42772E-04 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 0.00000E+00 
166.5, 166.5, 2.92826E-03 
175.5, 166.5, 2.47619E-02 
-175.5, 157.5, 2.96296E-01 
-166.5, 157.5, 3.94650E-01 
-157.5, 157.5, 5.58636E-01 
-148.5, 157.5, 6.96078E-01 
-139.5, 157.5, 7.87078E-01 
-130.5, 157.5, 8.86036E-01 
-121.5, 157.5, 8.82525E-01 
-112.5, 157.5, 1.04512E+00 
-103.5, 157.5, 1.16762E+00 
-94.5, 157.5, 9.81056E-01 
-85.5, 157.5, 8.24996E-01 
-76.5, 157.5, 6.99305E-01 
-67.5, 157.5, 5.40090E-01 
-58.5, 157.5, 4.31849E-01 
-49.5, 157.5, 3.53099E-01 
-40.5, 157.5, 3.18966E-01 
-31.5, 157.5, 3.04348E-01 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 1.53846E-01 
58.5, 157.5, 9.32642E-02 
67.5, 157.5, 3.33049E-02 
76.5, 157.5, 9.37709E-03 
85.5, 157.5, 0.00000E+00 
94.5, 157.5, -8.95522E-04 
103.5, 157.5, 0.00000E+00 
112.5, 157.5, 0.00000E+00 
121.5, 157.5, 0.00000E+00 
130.5, 157.5, 0.00000E+00 
139.5, 157.5, 0.00000E+00 
148.5, 157.5, 0.00000E+00 
157.5, 157.5, 0.00000E+00 
166.5, 157.5, 4.31655E-03 
175.5, 157.5, 5.59727E-02 
-175.5, 148.5, 2.31804E-01 
-166.5, 148.5, 3.31210E-01 
-157.5, 148.5, 4.91540E-01 
-148.5, 148.5, 6.99791E-01 
