x, y, probability density 
-175.5, 175.5, 1.53288E-02 
-166.5, 175.5, 8.03213E-04 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 5.66091E-04 
-94.5, 175.5, 3.64631E-04 
-85.5, 175.5, 2.37310E-03 
-76.5, 175.5, 7.99492E-03 
-67.5, 175.5, 1.35703E-02 
-58.5, 175.5, 7.49705E-02 
-49.5, 175.5, 1.08359E-01 
-40.5, 175.5, 1.42857E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 1.25000E-01 
58.5, 175.5, 1.72009E-01 
67.5, 175.5, 1.91905E-01 
76.5, 175.5, 1.99263E-01 
85.5, 175.5, 2.16795E-01 
94.5, 175.5, 2.42311E-01 
103.5, 175.5, 3.41504E-01 
112.5, 175.5, 4.90358E-01 
121.5, 175.5, 5.47686E-01 
130.5, 175.5, 5.84524E-01 
139.5, 175.5, 6.75917E-01 
148.5, 175.5, 6.18230E-01 
157.5, 175.5, 5.79992E-01 
166.5, 175.5, 3.85855E-01 
175.5, 175.5, 1.34537E-01 
-175.5, 166.5, 1.16279E-02 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 2.96912E-04 
-85.5, 166.5, 1.22674E-03 
-76.5, 166.5, 4.21941E-03 
-67.5, 166.5, 9.77430E-03 
-58.5, 166.5, 1.47493E-02 
-49.5, 166.5, 3.43879E-02 
-40.5, 166.5, 1.03448E-01 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
