x, y, probability density 
-175.5, 175.5, 2.42033E-03 
-166.5, 175.5, 0.00000E+00 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 3.64631E-04 
-85.5, 175.5, 5.27357E-04 
-76.5, 175.5, 1.77665E-03 
-67.5, 175.5, 1.01300E-02 
-58.5, 175.5, 2.42031E-02 
-49.5, 175.5, 1.54799E-02 
-40.5, 175.5, 2.85714E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 5.20833E-02 
58.5, 175.5, 1.33547E-01 
67.5, 175.5, 1.48954E-01 
76.5, 175.5, 1.58732E-01 
85.5, 175.5, 1.75093E-01 
94.5, 175.5, 2.28145E-01 
103.5, 175.5, 3.72981E-01 
112.5, 175.5, 5.52145E-01 
121.5, 175.5, 7.70066E-01 
130.5, 175.5, 7.69837E-01 
139.5, 175.5, 6.88801E-01 
148.5, 175.5, 4.44298E-01 
157.5, 175.5, 2.93373E-01 
166.5, 175.5, 1.16306E-01 
175.5, 175.5, 2.74815E-02 
-175.5, 166.5, 0.00000E+00 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 1.48456E-04 
-85.5, 166.5, 6.13371E-04 
-76.5, 166.5, 2.10970E-03 
-67.5, 166.5, 4.35401E-03 
-58.5, 166.5, 7.86627E-03 
-49.5, 166.5, 9.62861E-03 
-40.5, 166.5, -8.62069E-03 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 0.00000E+00 
58.5, 166.5, 4.18605E-02 
67.5, 166.5, 5.57065E-02 
76.5, 166.5, 7.78160E-02 
85.5, 166.5, 9.70546E-02 
94.5, 166.5, 1.31503E-01 
103.5, 166.5, 2.27216E-01 
112.5, 166.5, 3.46477E-01 
121.5, 166.5, 4.58686E-01 
130.5, 166.5, 4.00783E-01 
139.5, 166.5, 2.75591E-01 
148.5, 166.5, 1.61519E-01 
157.5, 166.5, 9.09538E-02 
166.5, 166.5, 3.41630E-02 
175.5, 166.5, 9.52381E-03 
-175.5, 157.5, 0.00000E+00 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
