x, y, probability density 
-175.5, 175.5, 0.00000E+00 
-166.5, 175.5, 0.00000E+00 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 0.00000E+00 
-76.5, 175.5, 3.80711E-04 
-67.5, 175.5, -5.73394E-04 
-58.5, 175.5, -2.95159E-03 
-49.5, 175.5, -3.09598E-03 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 2.08333E-02 
58.5, 175.5, 4.16667E-02 
67.5, 175.5, 9.00330E-02 
76.5, 175.5, 1.27634E-01 
85.5, 175.5, 1.52242E-01 
94.5, 175.5, 2.01305E-01 
103.5, 175.5, 2.31198E-01 
112.5, 175.5, 1.84967E-01 
121.5, 175.5, 7.64873E-02 
130.5, 175.5, 2.46427E-02 
139.5, 175.5, 2.97324E-03 
148.5, 175.5, 1.76134E-03 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 0.00000E+00 
175.5, 175.5, 0.00000E+00 
-175.5, 166.5, 0.00000E+00 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 2.04457E-04 
-76.5, 166.5, -1.68776E-04 
-67.5, 166.5, 0.00000E+00 
-58.5, 166.5, 0.00000E+00 
-49.5, 166.5, -1.37552E-03 
-40.5, 166.5, -1.72414E-02 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 0.00000E+00 
58.5, 166.5, 1.86047E-02 
67.5, 166.5, 4.07609E-02 
76.5, 166.5, 7.28719E-02 
85.5, 166.5, 1.09830E-01 
94.5, 166.5, 1.38145E-01 
103.5, 166.5, 1.48963E-01 
