x, y, probability density 
-175.5, 175.5, 7.42235E-02 
-166.5, 175.5, 2.63454E-01 
-157.5, 175.5, 3.74760E-01 
-148.5, 175.5, 3.56289E-01 
-139.5, 175.5, 5.12755E-01 
-130.5, 175.5, 6.51839E-01 
-121.5, 175.5, 7.51199E-01 
-112.5, 175.5, 7.50367E-01 
-103.5, 175.5, 5.75715E-01 
-94.5, 175.5, 3.87603E-01 
-85.5, 175.5, 3.20897E-01 
-76.5, 175.5, 2.81599E-01 
-67.5, 175.5, 2.74274E-01 
-58.5, 175.5, 2.48524E-01 
-49.5, 175.5, 1.70279E-01 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 4.79167E-01 
58.5, 175.5, 1.97650E-01 
67.5, 175.5, 6.91079E-02 
76.5, 175.5, 1.70965E-02 
85.5, 175.5, 3.42759E-03 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 1.57171E-03 
175.5, 175.5, 1.14848E-02 
-175.5, 166.5, 1.87984E-01 
-166.5, 166.5, 3.32577E-01 
-157.5, 166.5, 3.93583E-01 
-148.5, 166.5, 4.54033E-01 
-139.5, 166.5, 6.01512E-01 
-130.5, 166.5, 7.50466E-01 
-121.5, 166.5, 7.53063E-01 
-112.5, 166.5, 9.36196E-01 
-103.5, 166.5, 9.24484E-01 
-94.5, 166.5, 7.21200E-01 
-85.5, 166.5, 5.73502E-01 
-76.5, 166.5, 5.21013E-01 
-67.5, 166.5, 4.14786E-01 
-58.5, 166.5, 3.23173E-01 
-49.5, 166.5, 2.47593E-01 
-40.5, 166.5, 2.41379E-01 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 7.69231E-01 
58.5, 166.5, 4.51163E-01 
67.5, 166.5, 1.70290E-01 
76.5, 166.5, 4.75064E-02 
85.5, 166.5, 6.56494E-03 
94.5, 166.5, 2.65663E-03 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 0.00000E+00 
166.5, 166.5, 0.00000E+00 
175.5, 166.5, 2.95238E-02 
-175.5, 157.5, 2.30835E-01 
-166.5, 157.5, 2.85843E-01 
-157.5, 157.5, 4.23102E-01 
-148.5, 157.5, 5.99708E-01 
-139.5, 157.5, 6.94632E-01 
-130.5, 157.5, 8.05469E-01 
-121.5, 157.5, 7.84281E-01 
-112.5, 157.5, 9.11159E-01 
-103.5, 157.5, 1.01519E+00 
-94.5, 157.5, 8.91687E-01 
-85.5, 157.5, 7.06324E-01 
-76.5, 157.5, 6.04103E-01 
-67.5, 157.5, 4.33846E-01 
-58.5, 157.5, 3.13197E-01 
-49.5, 157.5, 2.54017E-01 
-40.5, 157.5, 2.04023E-01 
-31.5, 157.5, 2.17391E-01 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 1.15385E+00 
58.5, 157.5, 1.10881E+00 
67.5, 157.5, 3.06576E-01 
76.5, 157.5, 7.70261E-02 
85.5, 157.5, 1.52672E-02 
94.5, 157.5, 1.49254E-03 
103.5, 157.5, 0.00000E+00 
112.5, 157.5, 0.00000E+00 
121.5, 157.5, 0.00000E+00 
130.5, 157.5, 0.00000E+00 
139.5, 157.5, 0.00000E+00 
148.5, 157.5, 0.00000E+00 
157.5, 157.5, 0.00000E+00 
166.5, 157.5, 8.63309E-03 
175.5, 157.5, 6.82594E-02 
-175.5, 148.5, 2.19146E-01 
-166.5, 148.5, 3.11799E-01 
-157.5, 148.5, 4.54406E-01 
-148.5, 148.5, 6.94451E-01 
-139.5, 148.5, 7.32476E-01 
-130.5, 148.5, 6.70186E-01 
-121.5, 148.5, 6.47755E-01 
-112.5, 148.5, 7.53150E-01 
-103.5, 148.5, 9.14703E-01 
-94.5, 148.5, 9.77820E-01 
-85.5, 148.5, 8.41768E-01 
-76.5, 148.5, 6.59337E-01 
-67.5, 148.5, 4.95645E-01 
-58.5, 148.5, 3.57400E-01 
-49.5, 148.5, 2.68167E-01 
-40.5, 148.5, 1.90476E-01 
-31.5, 148.5, 2.33333E-01 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 1.80000E+00 
58.5, 148.5, 9.16667E-01 
67.5, 148.5, 5.37190E-01 
76.5, 148.5, 1.62244E-01 
85.5, 148.5, 2.10526E-02 
94.5, 148.5, 4.77016E-03 
103.5, 148.5, 1.15473E-03 
112.5, 148.5, 0.00000E+00 
121.5, 148.5, 0.00000E+00 
130.5, 148.5, 0.00000E+00 
139.5, 148.5, 0.00000E+00 
148.5, 148.5, 0.00000E+00 
157.5, 148.5, 0.00000E+00 
166.5, 148.5, 4.34783E-03 
175.5, 148.5, 9.65373E-02 
-175.5, 139.5, 3.68056E-01 
-166.5, 139.5, 4.54869E-01 
-157.5, 139.5, 6.62333E-01 
-148.5, 139.5, 9.08913E-01 
-139.5, 139.5, 6.15785E-01 
-130.5, 139.5, 5.12103E-01 
-121.5, 139.5, 4.90908E-01 
-112.5, 139.5, 5.46103E-01 
-103.5, 139.5, 6.14841E-01 
-94.5, 139.5, 6.88715E-01 
-85.5, 139.5, 7.17648E-01 
-76.5, 139.5, 7.54891E-01 
-67.5, 139.5, 6.26953E-01 
-58.5, 139.5, 4.69293E-01 
-49.5, 139.5, 3.61359E-01 
-40.5, 139.5, 2.64716E-01 
-31.5, 139.5, 2.13542E-01 
-22.5, 139.5, 3.00000E-01 
-13.5, 139.5, 0.00000E+00 
-4.5, 139.5, 0.00000E+00 
4.5, 139.5, 0.00000E+00 
13.5, 139.5, 0.00000E+00 
22.5, 139.5, 0.00000E+00 
31.5, 139.5, 0.00000E+00 
40.5, 139.5, 0.00000E+00 
49.5, 139.5, 1.75000E+00 
58.5, 139.5, 1.32500E+00 
67.5, 139.5, 9.48529E-01 
76.5, 139.5, 2.79855E-01 
85.5, 139.5, 4.28468E-02 
94.5, 139.5, 0.00000E+00 
103.5, 139.5, 1.90658E-03 
112.5, 139.5, 0.00000E+00 
121.5, 139.5, 0.00000E+00 
130.5, 139.5, 0.00000E+00 
139.5, 139.5, 0.00000E+00 
148.5, 139.5, 0.00000E+00 
157.5, 139.5, 0.00000E+00 
166.5, 139.5, 2.55941E-02 
175.5, 139.5, 1.58672E-01 
-175.5, 130.5, 5.36530E-01 
-166.5, 130.5, 6.55640E-01 
-157.5, 130.5, 8.56239E-01 
-148.5, 130.5, 8.91085E-01 
-139.5, 130.5, 5.43303E-01 
-130.5, 130.5, 3.96538E-01 
-121.5, 130.5, 3.83966E-01 
-112.5, 130.5, 4.20788E-01 
-103.5, 130.5, 4.76645E-01 
-94.5, 130.5, 5.16401E-01 
-85.5, 130.5, 5.30637E-01 
-76.5, 130.5, 5.69562E-01 
-67.5, 130.5, 6.79301E-01 
-58.5, 130.5, 6.36829E-01 
-49.5, 130.5, 5.11966E-01 
-40.5, 130.5, 4.26194E-01 
-31.5, 130.5, 3.71094E-01 
-22.5, 130.5, 2.28571E-01 
-13.5, 130.5, 5.00000E-01 
-4.5, 130.5, 0.00000E+00 
4.5, 130.5, 0.00000E+00 
13.5, 130.5, 0.00000E+00 
22.5, 130.5, 0.00000E+00 
31.5, 130.5, 0.00000E+00 
40.5, 130.5, 1.00000E+00 
49.5, 130.5, 2.25000E+00 
58.5, 130.5, 1.95238E+00 
67.5, 130.5, 1.65217E+00 
76.5, 130.5, 4.17234E-01 
85.5, 130.5, 9.60118E-02 
94.5, 130.5, 1.00503E-02 
103.5, 130.5, 0.00000E+00 
112.5, 130.5, 0.00000E+00 
121.5, 130.5, 0.00000E+00 
130.5, 130.5, 0.00000E+00 
139.5, 130.5, 0.00000E+00 
148.5, 130.5, 0.00000E+00 
157.5, 130.5, 0.00000E+00 
166.5, 130.5, 1.35593E-02 
175.5, 130.5, 2.12329E-01 
-175.5, 121.5, 5.33040E-01 
-166.5, 121.5, 7.35531E-01 
-157.5, 121.5, 8.17531E-01 
-148.5, 121.5, 8.79488E-01 
-139.5, 121.5, 5.02786E-01 
-130.5, 121.5, 3.84992E-01 
-121.5, 121.5, 3.58457E-01 
-112.5, 121.5, 3.87704E-01 
-103.5, 121.5, 4.42669E-01 
-94.5, 121.5, 4.42045E-01 
-85.5, 121.5, 4.86583E-01 
-76.5, 121.5, 5.11202E-01 
-67.5, 121.5, 6.11228E-01 
-58.5, 121.5, 7.60210E-01 
-49.5, 121.5, 7.15686E-01 
-40.5, 121.5, 5.63842E-01 
-31.5, 121.5, 4.74699E-01 
-22.5, 121.5, 6.07143E-01 
-13.5, 121.5, 7.69231E-01 
-4.5, 121.5, 0.00000E+00 
4.5, 121.5, 0.00000E+00 
13.5, 121.5, 0.00000E+00 
22.5, 121.5, 0.00000E+00 
31.5, 121.5, 0.00000E+00 
40.5, 121.5, 1.50000E+00 
49.5, 121.5, 1.57143E+00 
58.5, 121.5, 2.00000E+00 
67.5, 121.5, 1.21008E+00 
76.5, 121.5, 6.75439E-01 
85.5, 121.5, 1.61616E-01 
94.5, 121.5, 2.43309E-02 
103.5, 121.5, 0.00000E+00 
112.5, 121.5, 0.00000E+00 
121.5, 121.5, 0.00000E+00 
130.5, 121.5, 0.00000E+00 
139.5, 121.5, 0.00000E+00 
148.5, 121.5, 0.00000E+00 
157.5, 121.5, 0.00000E+00 
166.5, 121.5, 1.40845E-02 
175.5, 121.5, 3.64964E-01 
-175.5, 112.5, 6.61538E-01 
-166.5, 112.5, 6.75204E-01 
-157.5, 112.5, 7.90953E-01 
-148.5, 112.5, 9.00162E-01 
-139.5, 112.5, 5.22857E-01 
-130.5, 112.5, 3.70965E-01 
-121.5, 112.5, 3.60756E-01 
-112.5, 112.5, 3.79291E-01 
-103.5, 112.5, 4.32742E-01 
-94.5, 112.5, 4.64799E-01 
-85.5, 112.5, 4.77227E-01 
-76.5, 112.5, 5.42280E-01 
-67.5, 112.5, 6.39598E-01 
-58.5, 112.5, 7.70688E-01 
-49.5, 112.5, 7.95334E-01 
-40.5, 112.5, 6.51282E-01 
-31.5, 112.5, 5.61644E-01 
-22.5, 112.5, 5.60000E-01 
-13.5, 112.5, 3.33333E-01 
-4.5, 112.5, 0.00000E+00 
4.5, 112.5, 2.00000E+00 
13.5, 112.5, 1.33333E+00 
22.5, 112.5, 0.00000E+00 
31.5, 112.5, 6.66667E-01 
40.5, 112.5, 6.66667E-01 
49.5, 112.5, 2.50000E+00 
58.5, 112.5, 1.36842E+00 
67.5, 112.5, 1.34043E+00 
76.5, 112.5, 8.85350E-01 
85.5, 112.5, 1.82186E-01 
94.5, 112.5, 6.92641E-02 
103.5, 112.5, 1.11732E-02 
112.5, 112.5, 0.00000E+00 
121.5, 112.5, 0.00000E+00 
130.5, 112.5, 0.00000E+00 
139.5, 112.5, 0.00000E+00 
148.5, 112.5, 0.00000E+00 
157.5, 112.5, 0.00000E+00 
166.5, 112.5, 0.00000E+00 
175.5, 112.5, 4.21053E-01 
-175.5, 103.5, 4.34211E-01 
-166.5, 103.5, 6.70370E-01 
-157.5, 103.5, 7.37883E-01 
-148.5, 103.5, 8.11103E-01 
