x, y, probability density 
-175.5, 175.5, 1.61355E-03 
-166.5, 175.5, 0.00000E+00 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 1.45852E-03 
-85.5, 175.5, 5.80092E-03 
-76.5, 175.5, 2.14467E-02 
-67.5, 175.5, 5.10321E-02 
-58.5, 175.5, 1.02125E-01 
-49.5, 175.5, 1.20743E-01 
-40.5, 175.5, 5.71429E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 1.25000E-01 
58.5, 175.5, 3.52564E-02 
67.5, 175.5, 4.70815E-02 
76.5, 175.5, 4.65733E-02 
85.5, 175.5, 5.88403E-02 
94.5, 175.5, 7.60485E-02 
103.5, 175.5, 1.23677E-01 
112.5, 175.5, 1.92050E-01 
121.5, 175.5, 2.63456E-01 
130.5, 175.5, 2.49384E-01 
139.5, 175.5, 2.29931E-01 
148.5, 175.5, 1.26816E-01 
157.5, 175.5, 1.00464E-01 
166.5, 175.5, 5.89391E-02 
175.5, 175.5, 2.37900E-02 
-175.5, 166.5, 0.00000E+00 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 3.89257E-04 
-94.5, 166.5, 2.96912E-04 
-85.5, 166.5, 3.47577E-03 
-76.5, 166.5, 1.18143E-02 
-67.5, 166.5, 1.93709E-02 
-58.5, 166.5, 3.17929E-02 
-49.5, 166.5, 3.71389E-02 
-40.5, 166.5, 8.62069E-02 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 5.12821E-02 
58.5, 166.5, 0.00000E+00 
67.5, 166.5, 2.71739E-03 
76.5, 166.5, 2.64402E-02 
85.5, 166.5, 2.46629E-02 
94.5, 166.5, 3.36507E-02 
103.5, 166.5, 6.59962E-02 
112.5, 166.5, 8.97651E-02 
121.5, 166.5, 1.28178E-01 
