x, y, probability density 
-175.5, 175.5, 0.00000E+00 
-166.5, 175.5, 0.00000E+00 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 0.00000E+00 
-76.5, 175.5, -1.26904E-04 
-67.5, 175.5, -1.33792E-03 
-58.5, 175.5, -1.77096E-03 
-49.5, 175.5, -9.28793E-03 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 4.16667E-02 
58.5, 175.5, 2.67094E-02 
67.5, 175.5, 3.49670E-02 
76.5, 175.5, 3.94989E-02 
85.5, 175.5, 4.82719E-02 
94.5, 175.5, 7.26934E-02 
103.5, 175.5, 1.62674E-01 
112.5, 175.5, 2.89650E-01 
121.5, 175.5, 4.74032E-01 
130.5, 175.5, 4.09069E-01 
139.5, 175.5, 2.78494E-01 
148.5, 175.5, 9.77543E-02 
157.5, 175.5, 1.77290E-02 
166.5, 175.5, 6.28684E-03 
175.5, 175.5, 0.00000E+00 
-175.5, 166.5, 0.00000E+00 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 0.00000E+00 
-76.5, 166.5, -1.68776E-04 
-67.5, 166.5, -3.55429E-04 
-58.5, 166.5, -1.31105E-03 
-49.5, 166.5, -2.75103E-03 
-40.5, 166.5, -1.72414E-02 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 5.12821E-02 
58.5, 166.5, -4.65116E-03 
67.5, 166.5, 4.52899E-03 
76.5, 166.5, 1.39725E-02 
85.5, 166.5, 1.65011E-02 
94.5, 166.5, 2.87802E-02 
103.5, 166.5, 7.98240E-02 
