x, y, probability density 
-175.5, 175.5, 4.03388E-03 
-166.5, 175.5, 0.00000E+00 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 2.63678E-04 
-76.5, 175.5, 3.80711E-04 
-67.5, 175.5, 5.73394E-04 
-58.5, 175.5, 1.12161E-02 
-49.5, 175.5, 3.40557E-02 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 6.25000E-02 
58.5, 175.5, 1.05769E-01 
67.5, 175.5, 1.08756E-01 
76.5, 175.5, 1.32351E-01 
85.5, 175.5, 1.40246E-01 
94.5, 175.5, 1.81920E-01 
103.5, 175.5, 2.48468E-01 
112.5, 175.5, 3.14050E-01 
121.5, 175.5, 2.88952E-01 
130.5, 175.5, 2.33613E-01 
139.5, 175.5, 1.99207E-01 
148.5, 175.5, 1.75253E-01 
157.5, 175.5, 1.32545E-01 
166.5, 175.5, 4.79371E-02 
175.5, 175.5, 1.80476E-02 
-175.5, 166.5, 1.93798E-03 
-166.5, 166.5, 4.53721E-04 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 0.00000E+00 
-76.5, 166.5, 6.75105E-04 
-67.5, 166.5, 1.77715E-03 
-58.5, 166.5, 4.26090E-03 
-49.5, 166.5, 9.62861E-03 
-40.5, 166.5, 0.00000E+00 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 0.00000E+00 
58.5, 166.5, 1.39535E-02 
67.5, 166.5, 4.61957E-02 
76.5, 166.5, 7.07223E-02 
85.5, 166.5, 8.56991E-02 
94.5, 166.5, 1.16892E-01 
103.5, 166.5, 1.43935E-01 
112.5, 166.5, 1.83725E-01 
121.5, 166.5, 1.68432E-01 
130.5, 166.5, 1.17384E-01 
139.5, 166.5, 9.11136E-02 
148.5, 166.5, 9.11392E-02 
157.5, 166.5, 6.78466E-02 
166.5, 166.5, 3.22108E-02 
175.5, 166.5, 9.52381E-03 
-175.5, 157.5, 0.00000E+00 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 0.00000E+00 
-85.5, 157.5, 3.00436E-04 
-76.5, 157.5, 6.51324E-04 
-67.5, 157.5, 1.08597E-03 
-58.5, 157.5, 2.86752E-03 
-49.5, 157.5, 3.82555E-04 
-40.5, 157.5, 1.43678E-02 
-31.5, 157.5, 0.00000E+00 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 0.00000E+00 
58.5, 157.5, 4.14508E-02 
67.5, 157.5, 1.28096E-02 
76.5, 157.5, 3.68386E-02 
85.5, 157.5, 6.25954E-02 
94.5, 157.5, 1.02388E-01 
103.5, 157.5, 1.17162E-01 
112.5, 157.5, 1.63472E-01 
121.5, 157.5, 1.28297E-01 
130.5, 157.5, 8.91089E-02 
139.5, 157.5, 5.16605E-02 
148.5, 157.5, 5.52408E-02 
157.5, 157.5, 3.16586E-02 
166.5, 157.5, 2.44604E-02 
175.5, 157.5, 1.36519E-03 
-175.5, 148.5, 0.00000E+00 
-166.5, 148.5, 0.00000E+00 
-157.5, 148.5, 0.00000E+00 
-148.5, 148.5, 0.00000E+00 
-139.5, 148.5, 0.00000E+00 
-130.5, 148.5, 0.00000E+00 
-121.5, 148.5, 0.00000E+00 
-112.5, 148.5, 0.00000E+00 
-103.5, 148.5, 0.00000E+00 
-94.5, 148.5, 0.00000E+00 
-85.5, 148.5, 2.91673E-04 
-76.5, 148.5, 3.28192E-04 
-67.5, 148.5, 1.07097E-03 
-58.5, 148.5, 3.76475E-03 
-49.5, 148.5, 2.76461E-03 
-40.5, 148.5, 0.00000E+00 
-31.5, 148.5, 0.00000E+00 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 0.00000E+00 
58.5, 148.5, 4.16667E-02 
67.5, 148.5, 3.71901E-02 
76.5, 148.5, 4.76478E-02 
85.5, 148.5, 5.81053E-02 
94.5, 148.5, 1.05377E-01 
103.5, 148.5, 1.27021E-01 
112.5, 148.5, 1.64167E-01 
121.5, 148.5, 1.65503E-01 
130.5, 148.5, 5.15575E-02 
139.5, 148.5, 3.70370E-02 
148.5, 148.5, 1.80791E-02 
157.5, 148.5, 2.12314E-02 
166.5, 148.5, 8.69565E-03 
175.5, 148.5, 0.00000E+00 
-175.5, 139.5, 0.00000E+00 
-166.5, 139.5, 0.00000E+00 
-157.5, 139.5, 0.00000E+00 
-148.5, 139.5, 0.00000E+00 
-139.5, 139.5, 0.00000E+00 
-130.5, 139.5, 0.00000E+00 
