x, y, probability density 
-175.5, 175.5, 8.14845E-02 
-166.5, 175.5, 1.90361E-01 
-157.5, 175.5, 2.90839E-01 
-148.5, 175.5, 3.09421E-01 
-139.5, 175.5, 4.20918E-01 
-130.5, 175.5, 5.32622E-01 
-121.5, 175.5, 6.06580E-01 
-112.5, 175.5, 6.71072E-01 
-103.5, 175.5, 4.97028E-01 
-94.5, 175.5, 3.86144E-01 
-85.5, 175.5, 3.00066E-01 
-76.5, 175.5, 2.72462E-01 
-67.5, 175.5, 2.45604E-01 
-58.5, 175.5, 2.80401E-01 
-49.5, 175.5, 1.51703E-01 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 3.33333E-01 
49.5, 175.5, 3.33333E-01 
58.5, 175.5, 1.46368E-01 
67.5, 175.5, 7.62665E-02 
76.5, 175.5, 2.09285E-02 
85.5, 175.5, 7.42645E-03 
94.5, 175.5, 1.86393E-03 
103.5, 175.5, 5.57103E-04 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 1.57171E-03 
175.5, 175.5, 1.96883E-02 
-175.5, 166.5, 2.13178E-01 
-166.5, 166.5, 2.47731E-01 
-157.5, 166.5, 3.12262E-01 
-148.5, 166.5, 3.91037E-01 
-139.5, 166.5, 5.31587E-01 
-130.5, 166.5, 6.54873E-01 
-121.5, 166.5, 6.78272E-01 
-112.5, 166.5, 8.49489E-01 
-103.5, 166.5, 8.66485E-01 
-94.5, 166.5, 7.50891E-01 
-85.5, 166.5, 6.03762E-01 
-76.5, 166.5, 5.07511E-01 
-67.5, 166.5, 4.12653E-01 
-58.5, 166.5, 2.89413E-01 
-49.5, 166.5, 2.02201E-01 
-40.5, 166.5, 1.20690E-01 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 1.00000E+00 
49.5, 166.5, 7.17949E-01 
58.5, 166.5, 4.04651E-01 
67.5, 166.5, 1.44928E-01 
76.5, 166.5, 6.38435E-02 
85.5, 166.5, 1.68559E-02 
94.5, 166.5, 6.19880E-03 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 9.83284E-04 
166.5, 166.5, 6.83260E-03 
175.5, 166.5, 3.14286E-02 
-175.5, 157.5, 2.52369E-01 
-166.5, 157.5, 2.59092E-01 
-157.5, 157.5, 3.48735E-01 
-148.5, 157.5, 5.06049E-01 
-139.5, 157.5, 6.20676E-01 
-130.5, 157.5, 7.18639E-01 
-121.5, 157.5, 7.25962E-01 
-112.5, 157.5, 8.85849E-01 
-103.5, 157.5, 1.04728E+00 
-94.5, 157.5, 9.48741E-01 
-85.5, 157.5, 7.73321E-01 
-76.5, 157.5, 6.33739E-01 
-67.5, 157.5, 4.43801E-01 
-58.5, 157.5, 3.18550E-01 
-49.5, 157.5, 2.35654E-01 
-40.5, 157.5, 1.92529E-01 
-31.5, 157.5, 1.30435E-01 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 3.84615E-01 
58.5, 157.5, 1.05699E+00 
67.5, 157.5, 3.45858E-01 
76.5, 157.5, 1.39317E-01 
85.5, 157.5, 4.58015E-02 
94.5, 157.5, 7.46269E-03 
103.5, 157.5, 3.30033E-03 
112.5, 157.5, 0.00000E+00 
121.5, 157.5, 0.00000E+00 
130.5, 157.5, 0.00000E+00 
139.5, 157.5, 0.00000E+00 
148.5, 157.5, 1.41643E-03 
157.5, 157.5, 1.37646E-03 
166.5, 157.5, 1.00719E-02 
175.5, 157.5, 1.05119E-01 
-175.5, 148.5, 2.27848E-01 
-166.5, 148.5, 2.72672E-01 
-157.5, 148.5, 4.00132E-01 
-148.5, 148.5, 6.20850E-01 
-139.5, 148.5, 6.61033E-01 
-130.5, 148.5, 6.38508E-01 
-121.5, 148.5, 6.41138E-01 
-112.5, 148.5, 7.51587E-01 
-103.5, 148.5, 9.61355E-01 
-94.5, 148.5, 1.06272E+00 
-85.5, 148.5, 9.05206E-01 
-76.5, 148.5, 6.91969E-01 
-67.5, 148.5, 4.91861E-01 
-58.5, 148.5, 3.50540E-01 
-49.5, 148.5, 2.55924E-01 
-40.5, 148.5, 1.50963E-01 
-31.5, 148.5, 1.11111E-01 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 2.20000E+00 
58.5, 148.5, 9.16667E-01 
67.5, 148.5, 8.88430E-01 
76.5, 148.5, 2.28589E-01 
85.5, 148.5, 7.91579E-02 
94.5, 148.5, 2.29835E-02 
103.5, 148.5, 3.46420E-03 
112.5, 148.5, 0.00000E+00 
121.5, 148.5, 1.99402E-03 
130.5, 148.5, 0.00000E+00 
139.5, 148.5, 0.00000E+00 
148.5, 148.5, 0.00000E+00 
157.5, 148.5, 0.00000E+00 
166.5, 148.5, 1.95652E-02 
175.5, 148.5, 1.32214E-01 
-175.5, 139.5, 3.37963E-01 
-166.5, 139.5, 3.76167E-01 
-157.5, 139.5, 5.13162E-01 
-148.5, 139.5, 7.61548E-01 
-139.5, 139.5, 5.92147E-01 
-130.5, 139.5, 4.84889E-01 
-121.5, 139.5, 4.63742E-01 
-112.5, 139.5, 5.39962E-01 
-103.5, 139.5, 6.48689E-01 
-94.5, 139.5, 7.31639E-01 
-85.5, 139.5, 7.45431E-01 
-76.5, 139.5, 7.57070E-01 
-67.5, 139.5, 6.07517E-01 
-58.5, 139.5, 4.46207E-01 
-49.5, 139.5, 3.08705E-01 
-40.5, 139.5, 2.19336E-01 
-31.5, 139.5, 2.29167E-01 
-22.5, 139.5, 2.00000E-01 
-13.5, 139.5, 0.00000E+00 
-4.5, 139.5, 0.00000E+00 
4.5, 139.5, 0.00000E+00 
13.5, 139.5, 0.00000E+00 
22.5, 139.5, 0.00000E+00 
31.5, 139.5, 0.00000E+00 
40.5, 139.5, 1.00000E+00 
49.5, 139.5, 1.25000E+00 
58.5, 139.5, 1.12500E+00 
67.5, 139.5, 1.17647E+00 
76.5, 139.5, 3.61882E-01 
85.5, 139.5, 1.06754E-01 
94.5, 139.5, 3.13199E-02 
103.5, 139.5, 7.62631E-03 
112.5, 139.5, 0.00000E+00 
121.5, 139.5, 0.00000E+00 
130.5, 139.5, 0.00000E+00 
139.5, 139.5, 0.00000E+00 
148.5, 139.5, 0.00000E+00 
157.5, 139.5, 3.50877E-03 
166.5, 139.5, 2.92505E-02 
175.5, 139.5, 1.58672E-01 
-175.5, 130.5, 4.86301E-01 
-166.5, 130.5, 5.51315E-01 
-157.5, 130.5, 6.91202E-01 
-148.5, 130.5, 8.12960E-01 
-139.5, 130.5, 4.87695E-01 
-130.5, 130.5, 3.72826E-01 
-121.5, 130.5, 3.69620E-01 
-112.5, 130.5, 4.14641E-01 
-103.5, 130.5, 4.85589E-01 
-94.5, 130.5, 5.36804E-01 
-85.5, 130.5, 5.51788E-01 
-76.5, 130.5, 5.67559E-01 
-67.5, 130.5, 6.42671E-01 
-58.5, 130.5, 6.06968E-01 
-49.5, 130.5, 4.74660E-01 
-40.5, 130.5, 3.78437E-01 
-31.5, 130.5, 2.18750E-01 
-22.5, 130.5, 2.28571E-01 
-13.5, 130.5, 0.00000E+00 
-4.5, 130.5, 0.00000E+00 
4.5, 130.5, 0.00000E+00 
13.5, 130.5, 2.46914E-08 
22.5, 130.5, 0.00000E+00 
