x, y, probability density 
-175.5, 175.5, 8.87455E-03 
-166.5, 175.5, 8.03213E-04 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 1.58207E-03 
-76.5, 175.5, 3.68020E-03 
-67.5, 175.5, 9.36544E-03 
-58.5, 175.5, 1.35773E-02 
-49.5, 175.5, 2.16718E-02 
-40.5, 175.5, 1.42857E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 2.08333E-02 
58.5, 175.5, 7.79915E-02 
67.5, 175.5, 8.45264E-02 
76.5, 175.5, 9.13780E-02 
85.5, 175.5, 1.06827E-01 
94.5, 175.5, 1.18546E-01 
103.5, 175.5, 1.50975E-01 
112.5, 175.5, 2.04644E-01 
121.5, 175.5, 2.46459E-01 
130.5, 175.5, 2.80927E-01 
139.5, 175.5, 2.85431E-01 
148.5, 175.5, 2.34258E-01 
157.5, 175.5, 1.96707E-01 
166.5, 175.5, 1.13163E-01 
175.5, 175.5, 3.19934E-02 
-175.5, 166.5, 1.93798E-03 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 2.04457E-04 
-76.5, 166.5, 2.02532E-03 
-67.5, 166.5, 5.33144E-03 
-58.5, 166.5, 4.58866E-03 
-49.5, 166.5, 4.12655E-03 
-40.5, 166.5, -1.72414E-02 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 1.02564E-01 
58.5, 166.5, 2.32558E-02 
67.5, 166.5, 1.90217E-02 
76.5, 166.5, 3.71883E-02 
85.5, 166.5, 4.16962E-02 
94.5, 166.5, 5.66748E-02 
103.5, 166.5, 6.53677E-02 
112.5, 166.5, 8.55705E-02 
121.5, 166.5, 1.04873E-01 
130.5, 166.5, 1.20738E-01 
139.5, 166.5, 9.67379E-02 
148.5, 166.5, 7.08861E-02 
157.5, 166.5, 6.29302E-02 
166.5, 166.5, 3.61152E-02 
175.5, 166.5, 1.23810E-02 
-175.5, 157.5, 8.61326E-04 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 4.45732E-04 
-85.5, 157.5, 1.05152E-03 
-76.5, 157.5, 2.38819E-03 
-67.5, 157.5, 2.71493E-03 
-58.5, 157.5, 2.99497E-03 
-49.5, 157.5, 3.82555E-04 
-40.5, 157.5, 1.14943E-02 
-31.5, 157.5, 4.34783E-02 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 0.00000E+00 
58.5, 157.5, 2.07254E-02 
67.5, 157.5, 1.11016E-02 
76.5, 157.5, 1.40656E-02 
85.5, 157.5, 2.69720E-02 
94.5, 157.5, 2.95522E-02 
103.5, 157.5, 5.36304E-02 
