x, y, probability density 
-175.5, 175.5, 5.56676E-02 
-166.5, 175.5, 2.24900E-01 
-157.5, 175.5, 3.34401E-01 
-148.5, 175.5, 4.05548E-01 
-139.5, 175.5, 6.40816E-01 
-130.5, 175.5, 8.97390E-01 
-121.5, 175.5, 1.04524E+00 
-112.5, 175.5, 1.12408E+00 
-103.5, 175.5, 7.50637E-01 
-94.5, 175.5, 4.82771E-01 
-85.5, 175.5, 3.79697E-01 
-76.5, 175.5, 3.31091E-01 
-67.5, 175.5, 3.15176E-01 
-58.5, 175.5, 2.95750E-01 
-49.5, 175.5, 2.13622E-01 
-40.5, 175.5, 2.85714E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 4.16667E-02 
58.5, 175.5, 5.23504E-02 
67.5, 175.5, 1.51432E-02 
76.5, 175.5, 5.60059E-03 
85.5, 175.5, 1.14253E-03 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 0.00000E+00 
175.5, 175.5, 5.74241E-03 
-175.5, 166.5, 1.43411E-01 
-166.5, 166.5, 2.77223E-01 
-157.5, 166.5, 3.91360E-01 
-148.5, 166.5, 4.69142E-01 
-139.5, 166.5, 6.34719E-01 
-130.5, 166.5, 8.98200E-01 
-121.5, 166.5, 9.11992E-01 
-112.5, 166.5, 1.11902E+00 
-103.5, 166.5, 9.76645E-01 
-94.5, 166.5, 8.23931E-01 
-85.5, 166.5, 6.30137E-01 
-76.5, 166.5, 5.62700E-01 
-67.5, 166.5, 4.53350E-01 
-58.5, 166.5, 3.63160E-01 
-49.5, 166.5, 2.76479E-01 
-40.5, 166.5, 1.89655E-01 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 2.46914E-08 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 2.00000E+00 
49.5, 166.5, 3.07692E-01 
58.5, 166.5, 8.37209E-02 
67.5, 166.5, 2.26449E-02 
76.5, 166.5, 1.22528E-02 
85.5, 166.5, 8.87154E-04 
94.5, 166.5, 4.42772E-04 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
