x, y, probability density 
-175.5, 175.5, 5.64744E-02 
-166.5, 175.5, 2.22490E-01 
-157.5, 175.5, 3.78603E-01 
-148.5, 175.5, 4.17025E-01 
-139.5, 175.5, 6.47959E-01 
-130.5, 175.5, 1.00237E+00 
-121.5, 175.5, 1.21385E+00 
-112.5, 175.5, 1.17474E+00 
-103.5, 175.5, 8.08944E-01 
-94.5, 175.5, 5.34913E-01 
-85.5, 175.5, 4.07647E-01 
-76.5, 175.5, 3.49112E-01 
-67.5, 175.5, 3.40787E-01 
-58.5, 175.5, 2.99292E-01 
-49.5, 175.5, 2.19814E-01 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 3.33333E-01 
49.5, 175.5, -2.08333E-02 
58.5, 175.5, 2.24359E-02 
67.5, 175.5, 1.62445E-02 
76.5, 175.5, 2.94768E-03 
85.5, 175.5, 5.71265E-04 
94.5, 175.5, 3.72787E-04 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 7.85855E-04 
175.5, 175.5, 4.92207E-03 
-175.5, 166.5, 1.21124E-01 
-166.5, 166.5, 2.66788E-01 
-157.5, 166.5, 3.99301E-01 
-148.5, 166.5, 4.60948E-01 
-139.5, 166.5, 6.77646E-01 
-130.5, 166.5, 9.47858E-01 
-121.5, 166.5, 9.92908E-01 
-112.5, 166.5, 1.18446E+00 
-103.5, 166.5, 1.03387E+00 
-94.5, 166.5, 8.13242E-01 
-85.5, 166.5, 6.07033E-01 
-76.5, 166.5, 5.58312E-01 
-67.5, 166.5, 4.43931E-01 
-58.5, 166.5, 3.41855E-01 
-49.5, 166.5, 3.10867E-01 
-40.5, 166.5, 1.72414E-01 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
