x, y, probability density 
-175.5, 175.5, 1.49254E-01 
-166.5, 175.5, 4.47791E-01 
-157.5, 175.5, 5.84241E-01 
-148.5, 175.5, 4.82544E-01 
-139.5, 175.5, 5.43112E-01 
-130.5, 175.5, 6.39680E-01 
-121.5, 175.5, 6.88143E-01 
-112.5, 175.5, 6.86123E-01 
-103.5, 175.5, 4.99858E-01 
-94.5, 175.5, 3.50957E-01 
-85.5, 175.5, 2.69347E-01 
-76.5, 175.5, 2.53807E-01 
-67.5, 175.5, 2.33180E-01 
-58.5, 175.5, 2.29044E-01 
-49.5, 175.5, 1.98142E-01 
-40.5, 175.5, 2.85714E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 1.14583E-01 
58.5, 175.5, 6.83761E-02 
67.5, 175.5, 2.45044E-02 
76.5, 175.5, 8.69565E-03 
85.5, 175.5, 2.14225E-03 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 1.96464E-03 
175.5, 175.5, 2.21493E-02 
-175.5, 166.5, 4.55426E-01 
-166.5, 166.5, 6.16379E-01 
-157.5, 166.5, 7.00762E-01 
-148.5, 166.5, 6.13828E-01 
-139.5, 166.5, 6.73326E-01 
-130.5, 166.5, 7.96555E-01 
-121.5, 166.5, 7.52740E-01 
-112.5, 166.5, 8.68098E-01 
-103.5, 166.5, 8.16466E-01 
-94.5, 166.5, 6.70131E-01 
-85.5, 166.5, 5.33838E-01 
-76.5, 166.5, 4.60928E-01 
-67.5, 166.5, 3.75511E-01 
-58.5, 166.5, 2.84169E-01 
-49.5, 166.5, 2.17331E-01 
-40.5, 166.5, 2.24138E-01 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 5.00000E-01 
49.5, 166.5, 2.05128E-01 
58.5, 166.5, 1.65116E-01 
67.5, 166.5, 6.34058E-02 
76.5, 166.5, 2.17111E-02 
85.5, 166.5, 4.61320E-03 
94.5, 166.5, 6.64158E-04 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
