x, y, probability density 
-175.5, 175.5, 1.90399E-01 
-166.5, 175.5, 6.71486E-01 
-157.5, 175.5, 1.00000E+00 
-148.5, 175.5, 1.00000E+00 
-139.5, 175.5, 1.00000E+00 
-130.5, 175.5, 1.00000E+00 
-121.5, 175.5, 1.00000E+00 
-112.5, 175.5, 1.00000E+00 
-103.5, 175.5, 7.47806E-01 
-94.5, 175.5, 6.55606E-01 
-85.5, 175.5, 5.96177E-01 
-76.5, 175.5, 6.33629E-01 
-67.5, 175.5, 5.66323E-01 
-58.5, 175.5, 5.66116E-01 
-49.5, 175.5, 2.63158E-01 
-40.5, 175.5, 1.42857E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 1.00000E+00 
49.5, 175.5, 4.37500E-01 
58.5, 175.5, 1.84829E-01 
67.5, 175.5, 9.27863E-02 
76.5, 175.5, 3.41931E-02 
85.5, 175.5, 9.71151E-03 
94.5, 175.5, 3.35508E-03 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 1.57171E-03 
175.5, 175.5, 3.03527E-02 
-175.5, 166.5, 4.84496E-01 
-166.5, 166.5, 7.26407E-01 
-157.5, 166.5, 1.00000E+00 
-148.5, 166.5, 1.00000E+00 
-139.5, 166.5, 1.00000E+00 
-130.5, 166.5, 1.00000E+00 
-121.5, 166.5, 8.74597E-01 
-112.5, 166.5, 1.00000E+00 
-103.5, 166.5, 1.00000E+00 
-94.5, 166.5, 1.00000E+00 
-85.5, 166.5, 1.00000E+00 
-76.5, 166.5, 1.00000E+00 
-67.5, 166.5, 7.65594E-01 
-58.5, 166.5, 5.24418E-01 
-49.5, 166.5, 4.30536E-01 
-40.5, 166.5, 4.48276E-01 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 6.66667E-01 
58.5, 166.5, 5.34884E-01 
67.5, 166.5, 2.13768E-01 
76.5, 166.5, 8.44798E-02 
85.5, 166.5, 1.65011E-02 
94.5, 166.5, 5.75603E-03 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 9.83284E-04 
166.5, 166.5, 7.80869E-03 
175.5, 166.5, 7.52381E-02 
-175.5, 157.5, 5.70198E-01 
-166.5, 157.5, 6.02344E-01 
-157.5, 157.5, 8.26623E-01 
-148.5, 157.5, 1.00000E+00 
-139.5, 157.5, 9.25050E-01 
-130.5, 157.5, 8.50762E-01 
-121.5, 157.5, 7.50209E-01 
-112.5, 157.5, 8.16822E-01 
-103.5, 157.5, 9.67908E-01 
-94.5, 157.5, 1.00000E+00 
-85.5, 157.5, 1.00000E+00 
-76.5, 157.5, 9.39861E-01 
