x, y, probability density 
-175.5, 175.5, 5.88947E-02 
-166.5, 175.5, 3.16466E-01 
-157.5, 175.5, 6.39013E-01 
-148.5, 175.5, 1.01722E+00 
-139.5, 175.5, 1.75765E+00 
-130.5, 175.5, 2.43001E+00 
-121.5, 175.5, 2.46744E+00 
-112.5, 175.5, 2.04258E+00 
-103.5, 175.5, 1.16247E+00 
-94.5, 175.5, 5.94531E-01 
-85.5, 175.5, 3.54515E-01 
-76.5, 175.5, 2.55076E-01 
-67.5, 175.5, 1.78899E-01 
-58.5, 175.5, 1.37544E-01 
-49.5, 175.5, 7.43034E-02 
-40.5, 175.5, 7.14286E-02 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 1.23457E-08 
40.5, 175.5, 6.66667E-01 
49.5, 175.5, 2.29167E-01 
58.5, 175.5, 9.50855E-02 
67.5, 175.5, 4.26762E-02 
76.5, 175.5, 1.57701E-02 
85.5, 175.5, 5.42702E-03 
94.5, 175.5, 1.30475E-03 
103.5, 175.5, 2.78552E-04 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 4.22119E-04 
166.5, 175.5, 1.57171E-03 
175.5, 175.5, 8.20345E-03 
-175.5, 166.5, 1.26938E-01 
-166.5, 166.5, 2.60209E-01 
-157.5, 166.5, 4.93011E-01 
-148.5, 166.5, 7.81178E-01 
-139.5, 166.5, 1.29414E+00 
-130.5, 166.5, 1.69212E+00 
-121.5, 166.5, 1.50467E+00 
-112.5, 166.5, 1.48139E+00 
-103.5, 166.5, 1.04126E+00 
-94.5, 166.5, 6.83640E-01 
-85.5, 166.5, 4.31711E-01 
-76.5, 166.5, 2.97553E-01 
-67.5, 166.5, 1.84823E-01 
-58.5, 166.5, 1.17339E-01 
-49.5, 166.5, 7.63411E-02 
-40.5, 166.5, 5.17241E-02 
-31.5, 166.5, 2.50000E-01 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 4.10256E-01 
58.5, 166.5, 2.16279E-01 
67.5, 166.5, 7.01993E-02 
76.5, 166.5, 2.66552E-02 
85.5, 166.5, 8.33925E-03 
94.5, 166.5, 2.65663E-03 
103.5, 166.5, 9.42803E-04 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 0.00000E+00 
166.5, 166.5, 1.46413E-03 
175.5, 166.5, 1.38095E-02 
-175.5, 157.5, 1.85616E-01 
-166.5, 157.5, 2.36249E-01 
-157.5, 157.5, 4.04290E-01 
-148.5, 157.5, 7.04318E-01 
-139.5, 157.5, 9.35586E-01 
-130.5, 157.5, 1.03360E+00 
-121.5, 157.5, 8.95589E-01 
-112.5, 157.5, 8.49035E-01 
-103.5, 157.5, 7.55587E-01 
-94.5, 157.5, 5.26632E-01 
-85.5, 157.5, 3.89139E-01 
-76.5, 157.5, 2.97275E-01 
-67.5, 157.5, 1.86968E-01 
-58.5, 157.5, 1.24896E-01 
-49.5, 157.5, 8.49273E-02 
-40.5, 157.5, 9.62644E-02 
-31.5, 157.5, 1.08696E-01 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 5.00000E-01 
49.5, 157.5, 3.07692E-01 
58.5, 157.5, 2.79793E-01 
67.5, 157.5, 1.05038E-01 
76.5, 157.5, 3.88480E-02 
85.5, 157.5, 1.04326E-02 
94.5, 157.5, 2.68657E-03 
103.5, 157.5, 8.25083E-04 
112.5, 157.5, 0.00000E+00 
121.5, 157.5, 0.00000E+00 
130.5, 157.5, 0.00000E+00 
139.5, 157.5, 0.00000E+00 
148.5, 157.5, 0.00000E+00 
157.5, 157.5, 6.88231E-04 
166.5, 157.5, 7.91367E-03 
175.5, 157.5, 3.95904E-02 
-175.5, 148.5, 1.95411E-01 
-166.5, 148.5, 2.57658E-01 
-157.5, 148.5, 4.25731E-01 
-148.5, 148.5, 6.84119E-01 
-139.5, 148.5, 6.94162E-01 
-130.5, 148.5, 6.13265E-01 
-121.5, 148.5, 5.31387E-01 
-112.5, 148.5, 5.17241E-01 
-103.5, 148.5, 5.60404E-01 
-94.5, 148.5, 5.82935E-01 
-85.5, 148.5, 5.43532E-01 
-76.5, 148.5, 4.61672E-01 
-67.5, 148.5, 3.38498E-01 
-58.5, 148.5, 2.36802E-01 
-49.5, 148.5, 1.80983E-01 
-40.5, 148.5, 1.55015E-01 
-31.5, 148.5, 2.00000E-01 
-22.5, 148.5, 3.00000E-01 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 5.00000E-01 
49.5, 148.5, 4.00000E-01 
