x, y, probability density 
-175.5, 175.5, 2.42033E-03 
-166.5, 175.5, 8.03213E-04 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 5.27357E-04 
-76.5, 175.5, 2.91878E-03 
-67.5, 175.5, 9.74771E-03 
-58.5, 175.5, 1.71192E-02 
-49.5, 175.5, 2.16718E-02 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 6.25000E-02 
58.5, 175.5, 9.72222E-02 
67.5, 175.5, 9.00330E-02 
76.5, 175.5, 1.08475E-01 
85.5, 175.5, 1.19680E-01 
94.5, 175.5, 1.31594E-01 
103.5, 175.5, 1.63788E-01 
112.5, 175.5, 2.13302E-01 
121.5, 175.5, 2.95562E-01 
130.5, 175.5, 3.39083E-01 
139.5, 175.5, 3.94450E-01 
148.5, 175.5, 3.97182E-01 
157.5, 175.5, 3.14901E-01 
166.5, 175.5, 1.75246E-01 
175.5, 175.5, 5.57834E-02 
-175.5, 166.5, 1.93798E-03 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 3.17662E-04 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 4.08914E-04 
-76.5, 166.5, 2.53165E-03 
-67.5, 166.5, 4.62058E-03 
-58.5, 166.5, 3.93314E-03 
-49.5, 166.5, 5.50206E-03 
-40.5, 166.5, 0.00000E+00 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
