x, y, probability density 
-175.5, 175.5, 8.06777E-03 
-166.5, 175.5, 0.00000E+00 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 1.82315E-04 
-85.5, 175.5, 1.18655E-03 
-76.5, 175.5, 1.90355E-03 
-67.5, 175.5, 5.92508E-03 
-58.5, 175.5, 2.12515E-02 
-49.5, 175.5, 9.28793E-03 
-40.5, 175.5, 2.14286E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 1.66667E-01 
49.5, 175.5, 1.04167E-02 
58.5, 175.5, 4.80769E-02 
67.5, 175.5, 6.41520E-02 
76.5, 175.5, 6.45542E-02 
85.5, 175.5, 8.24050E-02 
94.5, 175.5, 1.05685E-01 
103.5, 175.5, 1.49582E-01 
112.5, 175.5, 2.34160E-01 
121.5, 175.5, 3.11143E-01 
130.5, 175.5, 3.54362E-01 
139.5, 175.5, 3.71655E-01 
148.5, 175.5, 3.14839E-01 
157.5, 175.5, 2.52005E-01 
166.5, 175.5, 1.54028E-01 
175.5, 175.5, 5.00410E-02 
-175.5, 166.5, 1.45349E-03 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 5.11143E-04 
-76.5, 166.5, 1.51899E-03 
-67.5, 166.5, 3.99858E-03 
-58.5, 166.5, 4.42478E-03 
-49.5, 166.5, 8.94085E-03 
-40.5, 166.5, 8.62069E-03 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 2.56410E-02 
58.5, 166.5, 1.16279E-02 
67.5, 166.5, 1.40399E-02 
76.5, 166.5, 2.36457E-02 
85.5, 166.5, 2.87438E-02 
94.5, 166.5, 4.09564E-02 
103.5, 166.5, 5.49969E-02 
112.5, 166.5, 9.94128E-02 
121.5, 166.5, 1.31886E-01 
130.5, 166.5, 1.32476E-01 
139.5, 166.5, 1.10799E-01 
148.5, 166.5, 9.31646E-02 
157.5, 166.5, 8.06293E-02 
166.5, 166.5, 3.17228E-02 
175.5, 166.5, 1.23810E-02 
-175.5, 157.5, 4.30663E-04 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
-103.5, 157.5, 1.43266E-04 
-94.5, 157.5, 0.00000E+00 
-85.5, 157.5, 6.75980E-04 
-76.5, 157.5, 1.35693E-03 
-67.5, 157.5, 2.08145E-03 
-58.5, 157.5, 3.44102E-03 
-49.5, 157.5, 2.67789E-03 
-40.5, 157.5, 1.00575E-02 
-31.5, 157.5, 0.00000E+00 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
