x, y, probability density 
-175.5, 175.5, 3.70370E-08 
-166.5, 175.5, 4.93827E-08 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 2.46914E-08 
-85.5, 175.5, 3.45679E-07 
-76.5, 175.5, 3.12346E-06 
-67.5, 175.5, 1.00123E-05 
-58.5, 175.5, 1.18148E-05 
-49.5, 175.5, 4.03704E-06 
-40.5, 175.5, 2.96296E-07 
-31.5, 175.5, 2.46914E-08 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 6.17284E-08 
49.5, 175.5, 1.07407E-06 
58.5, 175.5, 4.27160E-06 
67.5, 175.5, 4.61728E-06 
76.5, 175.5, 1.65432E-06 
85.5, 175.5, 1.85185E-07 
94.5, 175.5, 3.70370E-08 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 4.93827E-08 
175.5, 175.5, 8.64198E-08 
-175.5, 166.5, 4.93827E-08 
-166.5, 166.5, 1.23457E-08 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 3.70370E-08 
-85.5, 166.5, 5.80247E-07 
-76.5, 166.5, 5.53086E-06 
-67.5, 166.5, 2.18025E-05 
-58.5, 166.5, 3.36543E-05 
-49.5, 166.5, 1.48889E-05 
-40.5, 166.5, 1.95062E-06 
-31.5, 166.5, 9.87654E-08 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 1.23457E-08 
49.5, 166.5, 3.20988E-07 
58.5, 166.5, 1.55556E-06 
67.5, 166.5, 2.14815E-06 
76.5, 166.5, 6.79012E-07 
85.5, 166.5, 9.87654E-08 
94.5, 166.5, 1.23457E-08 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 1.23457E-08 
166.5, 166.5, 1.23457E-08 
175.5, 166.5, 6.17284E-08 
-175.5, 157.5, 3.70370E-08 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 1.23457E-08 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 7.40741E-08 
-85.5, 157.5, 8.88889E-07 
-76.5, 157.5, 7.98765E-06 
-67.5, 157.5, 3.99630E-05 
-58.5, 157.5, 7.51481E-05 
-49.5, 157.5, 4.59506E-05 
-40.5, 157.5, 8.56790E-06 
-31.5, 157.5, 6.04938E-07 
-22.5, 157.5, 1.23457E-08 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
