x, y, probability density 
-175.5, 175.5, 5.18519E-07 
-166.5, 175.5, 4.93827E-08 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 2.46914E-08 
-94.5, 175.5, 2.46914E-08 
-85.5, 175.5, 4.93827E-08 
-76.5, 175.5, 5.18519E-07 
-67.5, 175.5, 4.69136E-07 
-58.5, 175.5, 3.70370E-07 
-49.5, 175.5, 1.72840E-07 
-40.5, 175.5, 2.46914E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 6.91358E-07 
58.5, 175.5, 4.22222E-06 
67.5, 175.5, 1.41728E-05 
76.5, 175.5, 1.91358E-05 
85.5, 175.5, 1.65679E-05 
94.5, 175.5, 1.15062E-05 
103.5, 175.5, 9.65432E-06 
112.5, 175.5, 8.32099E-06 
121.5, 175.5, 8.12346E-06 
130.5, 175.5, 9.08642E-06 
139.5, 175.5, 1.13580E-05 
148.5, 175.5, 1.51605E-05 
157.5, 175.5, 1.47160E-05 
166.5, 175.5, 9.80247E-06 
175.5, 175.5, 3.16049E-06 
-175.5, 166.5, 1.23457E-07 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 4.93827E-08 
-85.5, 166.5, 2.46914E-08 
-76.5, 166.5, 2.46914E-07 
-67.5, 166.5, 5.43210E-07 
-58.5, 166.5, 2.22222E-07 
-49.5, 166.5, 2.71605E-07 
-40.5, 166.5, 4.93827E-08 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 7.40741E-08 
58.5, 166.5, 8.39506E-07 
67.5, 166.5, 3.13580E-06 
76.5, 166.5, 8.32099E-06 
85.5, 166.5, 6.69136E-06 
94.5, 166.5, 5.08642E-06 
103.5, 166.5, 5.13580E-06 
112.5, 166.5, 4.02469E-06 
