x, y, probability density 
-175.5, 175.5, 3.72840E-06 
-166.5, 175.5, 1.15062E-05 
-157.5, 175.5, 2.02963E-05 
-148.5, 175.5, 2.87654E-05 
-139.5, 175.5, 3.08642E-05 
-130.5, 175.5, 3.06914E-05 
-121.5, 175.5, 2.83951E-05 
-112.5, 175.5, 2.25679E-05 
-103.5, 175.5, 2.31358E-05 
-94.5, 175.5, 2.44938E-05 
-85.5, 175.5, 3.19259E-05 
-76.5, 175.5, 3.22963E-05 
-67.5, 175.5, 2.24444E-05 
-58.5, 175.5, 7.67901E-06 
-49.5, 175.5, 1.06173E-06 
-40.5, 175.5, 1.23457E-07 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 1.23457E-07 
58.5, 175.5, 7.16049E-07 
67.5, 175.5, 1.72840E-06 
76.5, 175.5, 1.03704E-06 
85.5, 175.5, 2.46914E-07 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 7.40741E-08 
175.5, 175.5, 5.67901E-07 
-175.5, 166.5, 8.76543E-06 
-166.5, 166.5, 2.68642E-05 
-157.5, 166.5, 4.82469E-05 
-148.5, 166.5, 6.26173E-05 
-139.5, 166.5, 7.94568E-05 
-130.5, 166.5, 7.51852E-05 
-121.5, 166.5, 6.14074E-05 
-112.5, 166.5, 5.41728E-05 
-103.5, 166.5, 5.33086E-05 
-94.5, 166.5, 6.34815E-05 
-85.5, 166.5, 8.29136E-05 
-76.5, 166.5, 9.67654E-05 
-67.5, 166.5, 7.41975E-05 
-58.5, 166.5, 3.19259E-05 
-49.5, 166.5, 5.82716E-06 
-40.5, 166.5, 5.43210E-07 
-31.5, 166.5, 2.46914E-08 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 1.48148E-07 
58.5, 166.5, 9.38272E-07 
67.5, 166.5, 2.09877E-06 
76.5, 166.5, 1.82716E-06 
85.5, 166.5, 3.95062E-07 
94.5, 166.5, 4.93827E-08 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 2.46914E-08 
166.5, 166.5, 1.72840E-07 
175.5, 166.5, 1.62963E-06 
-175.5, 157.5, 1.20988E-05 
-166.5, 157.5, 3.67654E-05 
-157.5, 157.5, 6.82963E-05 
-148.5, 157.5, 1.01136E-04 
-139.5, 157.5, 1.24198E-04 
-130.5, 157.5, 1.18296E-04 
-121.5, 157.5, 9.93827E-05 
-112.5, 157.5, 8.59753E-05 
-103.5, 157.5, 8.61728E-05 
-94.5, 157.5, 1.05432E-04 
-85.5, 157.5, 1.43605E-04 
-76.5, 157.5, 1.83333E-04 
-67.5, 157.5, 1.62864E-04 
-58.5, 157.5, 8.02716E-05 
-49.5, 157.5, 1.90617E-05 
-40.5, 157.5, 2.24691E-06 
-31.5, 157.5, 1.97531E-07 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
