x, y, probability density 
-175.5, 175.5, 9.87654E-08 
-166.5, 175.5, 0.00000E+00 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 4.93827E-08 
-76.5, 175.5, 1.72840E-07 
-67.5, 175.5, 5.92593E-07 
-58.5, 175.5, 3.70370E-07 
-49.5, 175.5, 1.97531E-07 
-40.5, 175.5, 2.46914E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 2.46914E-08 
49.5, 175.5, 1.23457E-07 
58.5, 175.5, 1.75309E-06 
67.5, 175.5, 7.40741E-06 
76.5, 175.5, 1.43210E-05 
85.5, 175.5, 1.71605E-05 
94.5, 175.5, 1.71111E-05 
103.5, 175.5, 1.72840E-05 
112.5, 175.5, 1.77037E-05 
121.5, 175.5, 1.87160E-05 
130.5, 175.5, 1.79506E-05 
139.5, 175.5, 1.45432E-05 
148.5, 175.5, 1.10123E-05 
157.5, 175.5, 7.90123E-06 
166.5, 175.5, 4.17284E-06 
175.5, 175.5, 7.90123E-07 
-175.5, 166.5, 2.46914E-08 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 4.93827E-08 
-76.5, 166.5, 1.97531E-07 
-67.5, 166.5, 7.40741E-07 
-58.5, 166.5, 3.70370E-07 
-49.5, 166.5, 2.71605E-07 
-40.5, 166.5, 4.93827E-08 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 2.46914E-08 
58.5, 166.5, 2.71605E-07 
67.5, 166.5, 1.62963E-06 
76.5, 166.5, 4.91358E-06 
85.5, 166.5, 7.20988E-06 
94.5, 166.5, 7.28395E-06 
103.5, 166.5, 8.41975E-06 
112.5, 166.5, 9.77778E-06 
121.5, 166.5, 8.83951E-06 
130.5, 166.5, 7.60494E-06 
139.5, 166.5, 5.35802E-06 
148.5, 166.5, 3.65432E-06 
157.5, 166.5, 2.00000E-06 
166.5, 166.5, 1.03704E-06 
175.5, 166.5, 1.97531E-07 
-175.5, 157.5, 0.00000E+00 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
