x, y, probability density 
-175.5, 175.5, 7.40741E-08 
-166.5, 175.5, 0.00000E+00 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 2.46914E-08 
-85.5, 175.5, 4.93827E-08 
-76.5, 175.5, 1.85185E-07 
-67.5, 175.5, 7.90123E-07 
-58.5, 175.5, 5.67901E-07 
-49.5, 175.5, 1.23457E-07 
-40.5, 175.5, 4.93827E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 8.64198E-08 
58.5, 175.5, 1.60494E-06 
67.5, 175.5, 6.71605E-06 
76.5, 175.5, 1.33210E-05 
85.5, 175.5, 1.51358E-05 
94.5, 175.5, 1.51111E-05 
103.5, 175.5, 1.65309E-05 
112.5, 175.5, 1.73210E-05 
121.5, 175.5, 2.01358E-05 
130.5, 175.5, 1.92840E-05 
139.5, 175.5, 1.71605E-05 
148.5, 175.5, 1.24568E-05 
157.5, 175.5, 8.58025E-06 
166.5, 175.5, 3.65432E-06 
175.5, 175.5, 8.27160E-07 
-175.5, 166.5, 0.00000E+00 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 1.23457E-08 
-85.5, 166.5, 7.40741E-08 
-76.5, 166.5, 3.33333E-07 
-67.5, 166.5, 6.79012E-07 
-58.5, 166.5, 7.16049E-07 
-49.5, 166.5, 2.46914E-07 
-40.5, 166.5, 1.23457E-08 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 0.00000E+00 
58.5, 166.5, 2.96296E-07 
67.5, 166.5, 1.71605E-06 
76.5, 166.5, 4.53086E-06 
85.5, 166.5, 6.76543E-06 
94.5, 166.5, 7.33333E-06 
103.5, 166.5, 8.92593E-06 
112.5, 166.5, 1.01975E-05 
121.5, 166.5, 1.06914E-05 
130.5, 166.5, 8.85185E-06 
139.5, 166.5, 6.04938E-06 
148.5, 166.5, 3.93827E-06 
157.5, 166.5, 2.28395E-06 
166.5, 166.5, 8.64198E-07 
175.5, 166.5, 2.46914E-07 
-175.5, 157.5, 0.00000E+00 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 0.00000E+00 
-85.5, 157.5, 4.93827E-08 
-76.5, 157.5, 4.07407E-07 
-67.5, 157.5, 1.11111E-06 
-58.5, 157.5, 1.43210E-06 
-49.5, 157.5, 5.80247E-07 
-40.5, 157.5, 4.93827E-08 
-31.5, 157.5, 0.00000E+00 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
