x, y, probability density 
-175.5, 175.5, 3.06049E-05 
-166.5, 175.5, 3.07407E-05 
-157.5, 175.5, 3.00741E-05 
-148.5, 175.5, 2.91605E-05 
-139.5, 175.5, 2.67778E-05 
-130.5, 175.5, 2.55802E-05 
-121.5, 175.5, 2.48642E-05 
-112.5, 175.5, 3.19877E-05 
-103.5, 175.5, 4.36173E-05 
-94.5, 175.5, 6.77160E-05 
-85.5, 175.5, 9.36420E-05 
-76.5, 175.5, 9.72963E-05 
-67.5, 175.5, 6.47284E-05 
-58.5, 175.5, 2.09753E-05 
-49.5, 175.5, 3.14815E-06 
-40.5, 175.5, 1.72840E-07 
-31.5, 175.5, 1.23457E-08 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 6.17284E-08 
49.5, 175.5, 1.20988E-06 
58.5, 175.5, 1.16173E-05 
67.5, 175.5, 4.48765E-05 
76.5, 175.5, 8.37901E-05 
85.5, 175.5, 8.64444E-05 
94.5, 175.5, 6.62346E-05 
103.5, 175.5, 4.43210E-05 
112.5, 175.5, 3.13704E-05 
121.5, 175.5, 2.61481E-05 
130.5, 175.5, 2.50494E-05 
139.5, 175.5, 2.49136E-05 
148.5, 175.5, 2.80370E-05 
157.5, 175.5, 2.92469E-05 
166.5, 175.5, 3.14198E-05 
175.5, 175.5, 3.00988E-05 
-175.5, 166.5, 2.54815E-05 
-166.5, 166.5, 2.65432E-05 
-157.5, 166.5, 2.61728E-05 
-148.5, 166.5, 2.55679E-05 
-139.5, 166.5, 2.38025E-05 
-130.5, 166.5, 2.16790E-05 
-121.5, 166.5, 2.22593E-05 
-112.5, 166.5, 2.78642E-05 
-103.5, 166.5, 3.92593E-05 
-94.5, 166.5, 5.96667E-05 
-85.5, 166.5, 8.61111E-05 
-76.5, 166.5, 9.83210E-05 
-67.5, 166.5, 7.68765E-05 
-58.5, 166.5, 3.36049E-05 
-49.5, 166.5, 6.41975E-06 
-40.5, 166.5, 5.80247E-07 
-31.5, 166.5, 4.93827E-08 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 1.23457E-08 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 4.81481E-07 
58.5, 166.5, 5.38272E-06 
67.5, 166.5, 2.74568E-05 
76.5, 166.5, 5.74938E-05 
85.5, 166.5, 6.95926E-05 
94.5, 166.5, 5.57654E-05 
103.5, 166.5, 3.92840E-05 
112.5, 166.5, 2.94321E-05 
121.5, 166.5, 2.33086E-05 
130.5, 166.5, 2.20864E-05 
139.5, 166.5, 2.19506E-05 
148.5, 166.5, 2.43827E-05 
157.5, 166.5, 2.51111E-05 
166.5, 166.5, 2.52963E-05 
175.5, 166.5, 2.59259E-05 
-175.5, 157.5, 1.90741E-05 
-166.5, 157.5, 2.01235E-05 
-157.5, 157.5, 1.95432E-05 
-148.5, 157.5, 1.80988E-05 
-139.5, 157.5, 1.79383E-05 
-130.5, 157.5, 1.65926E-05 
-121.5, 157.5, 1.75556E-05 
-112.5, 157.5, 2.17160E-05 
-103.5, 157.5, 2.97160E-05 
-94.5, 157.5, 4.65679E-05 
-85.5, 157.5, 7.00123E-05 
-76.5, 157.5, 8.43951E-05 
-67.5, 157.5, 7.41728E-05 
-58.5, 157.5, 4.01605E-05 
-49.5, 157.5, 1.09012E-05 
-40.5, 157.5, 1.18519E-06 
-31.5, 157.5, 1.35802E-07 
-22.5, 157.5, 1.23457E-08 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 1.35802E-07 
58.5, 157.5, 2.38272E-06 
67.5, 157.5, 1.45926E-05 
76.5, 157.5, 3.71358E-05 
85.5, 157.5, 4.86667E-05 
94.5, 157.5, 4.13951E-05 
103.5, 157.5, 2.99259E-05 
112.5, 157.5, 2.19012E-05 
121.5, 157.5, 1.73210E-05 
130.5, 157.5, 1.74568E-05 
139.5, 157.5, 1.67284E-05 
148.5, 157.5, 1.74321E-05 
157.5, 157.5, 1.79383E-05 
166.5, 157.5, 1.71605E-05 
175.5, 157.5, 1.80864E-05 
-175.5, 148.5, 1.21358E-05 
-166.5, 148.5, 1.27407E-05 
-157.5, 148.5, 1.17778E-05 
-148.5, 148.5, 1.14938E-05 
-139.5, 148.5, 1.10494E-05 
-130.5, 148.5, 1.16790E-05 
-121.5, 148.5, 1.08148E-05 
-112.5, 148.5, 1.44198E-05 
-103.5, 148.5, 1.96790E-05 
-94.5, 148.5, 3.12593E-05 
-85.5, 148.5, 4.77407E-05 
-76.5, 148.5, 6.42840E-05 
-67.5, 148.5, 6.24691E-05 
-58.5, 148.5, 3.84815E-05 
-49.5, 148.5, 1.31481E-05 
-40.5, 148.5, 2.60494E-06 
-31.5, 148.5, 2.71605E-07 
-22.5, 148.5, 2.46914E-08 
-13.5, 148.5, 1.23457E-08 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 3.70370E-08 
58.5, 148.5, 9.13580E-07 
67.5, 148.5, 6.00000E-06 
76.5, 148.5, 2.05802E-05 
85.5, 148.5, 2.95926E-05 
94.5, 148.5, 2.85309E-05 
103.5, 148.5, 2.13827E-05 
112.5, 148.5, 1.56420E-05 
121.5, 148.5, 1.23827E-05 
130.5, 148.5, 1.14938E-05 
139.5, 148.5, 1.13333E-05 
148.5, 148.5, 1.09259E-05 
157.5, 148.5, 1.16296E-05 
166.5, 148.5, 1.13580E-05 
175.5, 148.5, 1.17654E-05 
-175.5, 139.5, 6.48148E-06 
-166.5, 139.5, 6.83951E-06 
-157.5, 139.5, 6.46914E-06 
-148.5, 139.5, 6.51852E-06 
-139.5, 139.5, 6.45679E-06 
-130.5, 139.5, 6.40741E-06 
-121.5, 139.5, 7.46914E-06 
-112.5, 139.5, 8.24691E-06 
-103.5, 139.5, 1.16049E-05 
-94.5, 139.5, 1.87407E-05 
-85.5, 139.5, 2.83704E-05 
-76.5, 139.5, 3.92099E-05 
-67.5, 139.5, 4.05309E-05 
-58.5, 139.5, 2.85926E-05 
-49.5, 139.5, 1.28889E-05 
-40.5, 139.5, 2.70370E-06 
-31.5, 139.5, 4.56790E-07 
-22.5, 139.5, 7.40741E-08 
-13.5, 139.5, 1.23457E-08 
-4.5, 139.5, 0.00000E+00 
4.5, 139.5, 0.00000E+00 
13.5, 139.5, 0.00000E+00 
22.5, 139.5, 0.00000E+00 
31.5, 139.5, 0.00000E+00 
40.5, 139.5, 0.00000E+00 
49.5, 139.5, 3.70370E-08 
58.5, 139.5, 4.81481E-07 
67.5, 139.5, 3.35802E-06 
76.5, 139.5, 1.03333E-05 
85.5, 139.5, 1.70370E-05 
94.5, 139.5, 1.66543E-05 
103.5, 139.5, 1.29506E-05 
112.5, 139.5, 9.71605E-06 
121.5, 139.5, 7.90123E-06 
130.5, 139.5, 7.32099E-06 
139.5, 139.5, 7.03704E-06 
148.5, 139.5, 6.88889E-06 
157.5, 139.5, 7.03704E-06 
166.5, 139.5, 6.75309E-06 
175.5, 139.5, 6.69136E-06 
-175.5, 130.5, 3.17284E-06 
-166.5, 130.5, 3.39506E-06 
-157.5, 130.5, 3.33333E-06 
-148.5, 130.5, 3.43210E-06 
-139.5, 130.5, 3.17284E-06 
-130.5, 130.5, 3.18519E-06 
-121.5, 130.5, 3.71605E-06 
-112.5, 130.5, 4.64198E-06 
-103.5, 130.5, 6.25926E-06 
-94.5, 130.5, 1.04815E-05 
-85.5, 130.5, 1.59877E-05 
-76.5, 130.5, 2.15802E-05 
-67.5, 130.5, 2.33704E-05 
-58.5, 130.5, 1.74691E-05 
-49.5, 130.5, 8.71605E-06 
-40.5, 130.5, 2.79012E-06 
-31.5, 130.5, 5.18519E-07 
-22.5, 130.5, 7.40741E-08 
-13.5, 130.5, 1.23457E-08 
-4.5, 130.5, 0.00000E+00 
4.5, 130.5, 0.00000E+00 
13.5, 130.5, 0.00000E+00 
22.5, 130.5, 0.00000E+00 
31.5, 130.5, 0.00000E+00 
40.5, 130.5, 0.00000E+00 
49.5, 130.5, 0.00000E+00 
58.5, 130.5, 2.09877E-07 
67.5, 130.5, 1.53086E-06 
76.5, 130.5, 5.46914E-06 
85.5, 130.5, 8.37037E-06 
94.5, 130.5, 9.85185E-06 
103.5, 130.5, 6.77778E-06 
112.5, 130.5, 5.70370E-06 
121.5, 130.5, 4.37037E-06 
130.5, 130.5, 3.98765E-06 
139.5, 130.5, 3.82716E-06 
148.5, 130.5, 3.51852E-06 
157.5, 130.5, 3.67901E-06 
166.5, 130.5, 3.64198E-06 
175.5, 130.5, 3.60494E-06 
-175.5, 121.5, 1.67901E-06 
-166.5, 121.5, 2.03704E-06 
-157.5, 121.5, 1.67901E-06 
-148.5, 121.5, 1.65432E-06 
-139.5, 121.5, 1.64198E-06 
-130.5, 121.5, 1.53086E-06 
-121.5, 121.5, 1.87654E-06 
-112.5, 121.5, 2.27160E-06 
-103.5, 121.5, 3.32099E-06 
-94.5, 121.5, 4.91358E-06 
-85.5, 121.5, 8.12346E-06 
-76.5, 121.5, 1.15679E-05 
-67.5, 121.5, 1.22346E-05 
-58.5, 121.5, 9.37037E-06 
-49.5, 121.5, 4.76543E-06 
-40.5, 121.5, 1.86420E-06 
-31.5, 121.5, 4.07407E-07 
-22.5, 121.5, 6.17284E-08 
-13.5, 121.5, 2.46914E-08 
-4.5, 121.5, 0.00000E+00 
4.5, 121.5, 0.00000E+00 
13.5, 121.5, 0.00000E+00 
22.5, 121.5, 0.00000E+00 
31.5, 121.5, 0.00000E+00 
40.5, 121.5, 0.00000E+00 
49.5, 121.5, 1.23457E-08 
58.5, 121.5, 1.23457E-07 
67.5, 121.5, 8.02469E-07 
76.5, 121.5, 2.81481E-06 
85.5, 121.5, 4.88889E-06 
94.5, 121.5, 5.09877E-06 
103.5, 121.5, 3.87654E-06 
112.5, 121.5, 2.81481E-06 
121.5, 121.5, 2.65432E-06 
130.5, 121.5, 2.38272E-06 
139.5, 121.5, 2.23457E-06 
148.5, 121.5, 2.12346E-06 
157.5, 121.5, 2.00000E-06 
166.5, 121.5, 1.75309E-06 
175.5, 121.5, 1.69136E-06 
-175.5, 112.5, 1.06173E-06 
-166.5, 112.5, 7.03704E-07 
-157.5, 112.5, 7.53086E-07 
-148.5, 112.5, 7.90123E-07 
-139.5, 112.5, 6.66667E-07 
-130.5, 112.5, 9.25926E-07 
-121.5, 112.5, 8.14815E-07 
-112.5, 112.5, 1.14815E-06 
-103.5, 112.5, 1.71605E-06 
-94.5, 112.5, 2.93827E-06 
-85.5, 112.5, 4.45679E-06 
-76.5, 112.5, 5.98765E-06 
-67.5, 112.5, 5.88889E-06 
-58.5, 112.5, 4.20988E-06 
-49.5, 112.5, 2.20988E-06 
-40.5, 112.5, 6.66667E-07 
-31.5, 112.5, 2.59259E-07 
-22.5, 112.5, 9.87654E-08 
-13.5, 112.5, 2.46914E-08 
-4.5, 112.5, 0.00000E+00 
4.5, 112.5, 1.23457E-08 
13.5, 112.5, 0.00000E+00 
22.5, 112.5, 0.00000E+00 
31.5, 112.5, 0.00000E+00 
40.5, 112.5, 0.00000E+00 
49.5, 112.5, 2.46914E-08 
58.5, 112.5, 1.85185E-07 
67.5, 112.5, 5.30864E-07 
76.5, 112.5, 1.81481E-06 
85.5, 112.5, 3.08642E-06 
94.5, 112.5, 2.85185E-06 
103.5, 112.5, 2.20988E-06 
112.5, 112.5, 2.03704E-06 
121.5, 112.5, 1.54321E-06 
130.5, 112.5, 1.37037E-06 
139.5, 112.5, 1.39506E-06 
148.5, 112.5, 1.41975E-06 
157.5, 112.5, 1.12346E-06 
166.5, 112.5, 8.88889E-07 
175.5, 112.5, 9.38272E-07 
-175.5, 103.5, 4.44444E-07 
-166.5, 103.5, 3.95062E-07 
-157.5, 103.5, 4.69136E-07 
-148.5, 103.5, 4.69136E-07 
-139.5, 103.5, 4.44444E-07 
-130.5, 103.5, 4.32099E-07 
-121.5, 103.5, 3.82716E-07 
-112.5, 103.5, 6.41975E-07 
-103.5, 103.5, 8.14815E-07 
-94.5, 103.5, 1.56790E-06 
-85.5, 103.5, 2.64198E-06 
-76.5, 103.5, 3.22222E-06 
-67.5, 103.5, 2.77778E-06 
-58.5, 103.5, 1.45679E-06 
-49.5, 103.5, 7.77778E-07 
-40.5, 103.5, 2.59259E-07 
-31.5, 103.5, 1.35802E-07 
-22.5, 103.5, 2.46914E-08 
-13.5, 103.5, 1.23457E-08 
-4.5, 103.5, 0.00000E+00 
4.5, 103.5, 1.23457E-08 
13.5, 103.5, 0.00000E+00 
22.5, 103.5, 0.00000E+00 
31.5, 103.5, 0.00000E+00 
40.5, 103.5, 0.00000E+00 
49.5, 103.5, 1.23457E-08 
58.5, 103.5, 1.23457E-07 
67.5, 103.5, 6.79012E-07 
76.5, 103.5, 1.32099E-06 
85.5, 103.5, 2.04938E-06 
94.5, 103.5, 1.96296E-06 
103.5, 103.5, 1.37037E-06 
112.5, 103.5, 1.22222E-06 
121.5, 103.5, 9.13580E-07 
130.5, 103.5, 7.77778E-07 
139.5, 103.5, 8.14815E-07 
148.5, 103.5, 7.53086E-07 
157.5, 103.5, 6.41975E-07 
166.5, 103.5, 6.41975E-07 
175.5, 103.5, 5.92593E-07 
-175.5, 94.5, 4.44444E-07 
-166.5, 94.5, 3.45679E-07 
-157.5, 94.5, 2.22222E-07 
-148.5, 94.5, 4.19753E-07 
-139.5, 94.5, 3.20988E-07 
-130.5, 94.5, 2.96296E-07 
-121.5, 94.5, 2.71605E-07 
-112.5, 94.5, 4.19753E-07 
-103.5, 94.5, 6.54321E-07 
-94.5, 94.5, 1.00000E-06 
-85.5, 94.5, 1.66667E-06 
-76.5, 94.5, 2.12346E-06 
-67.5, 94.5, 1.50617E-06 
-58.5, 94.5, 6.66667E-07 
-49.5, 94.5, 2.83951E-07 
-40.5, 94.5, 6.17284E-08 
-31.5, 94.5, 4.93827E-08 
-22.5, 94.5, 0.00000E+00 
-13.5, 94.5, 0.00000E+00 
-4.5, 94.5, 0.00000E+00 
4.5, 94.5, 0.00000E+00 
13.5, 94.5, 0.00000E+00 
22.5, 94.5, 0.00000E+00 
31.5, 94.5, 0.00000E+00 
40.5, 94.5, 1.23457E-08 
49.5, 94.5, 3.70370E-08 
58.5, 94.5, 2.09877E-07 
67.5, 94.5, 5.18519E-07 
76.5, 94.5, 1.22222E-06 
85.5, 94.5, 1.60494E-06 
94.5, 94.5, 1.30864E-06 
103.5, 94.5, 1.17284E-06 
112.5, 94.5, 8.14815E-07 
121.5, 94.5, 7.77778E-07 
130.5, 94.5, 4.32099E-07 
139.5, 94.5, 6.04938E-07 
148.5, 94.5, 4.93827E-07 
157.5, 94.5, 4.07407E-07 
166.5, 94.5, 4.32099E-07 
175.5, 94.5, 4.56790E-07 
-175.5, 85.5, 3.45679E-07 
-166.5, 85.5, 3.82716E-07 
-157.5, 85.5, 4.32099E-07 
-148.5, 85.5, 3.33333E-07 
-139.5, 85.5, 2.96296E-07 
-130.5, 85.5, 2.96296E-07 
-121.5, 85.5, 3.08642E-07 
-112.5, 85.5, 4.69136E-07 
-103.5, 85.5, 3.95062E-07 
-94.5, 85.5, 8.88889E-07 
-85.5, 85.5, 1.18519E-06 
-76.5, 85.5, 1.56790E-06 
-67.5, 85.5, 9.87654E-07 
-58.5, 85.5, 2.83951E-07 
-49.5, 85.5, 8.64198E-08 
-40.5, 85.5, 1.23457E-08 
-31.5, 85.5, 1.23457E-08 
-22.5, 85.5, 1.23457E-08 
-13.5, 85.5, 0.00000E+00 
-4.5, 85.5, 1.23457E-08 
4.5, 85.5, 0.00000E+00 
13.5, 85.5, 2.46914E-08 
22.5, 85.5, 0.00000E+00 
31.5, 85.5, 6.17284E-08 
40.5, 85.5, 4.93827E-08 
49.5, 85.5, 1.11111E-07 
58.5, 85.5, 3.45679E-07 
67.5, 85.5, 9.62963E-07 
76.5, 85.5, 1.18519E-06 
85.5, 85.5, 1.39506E-06 
94.5, 85.5, 1.50617E-06 
103.5, 85.5, 9.50617E-07 
112.5, 85.5, 6.04938E-07 
121.5, 85.5, 4.32099E-07 
130.5, 85.5, 5.30864E-07 
139.5, 85.5, 5.43210E-07 
148.5, 85.5, 3.45679E-07 
157.5, 85.5, 4.19753E-07 
166.5, 85.5, 3.58025E-07 
175.5, 85.5, 3.33333E-07 
-175.5, 76.5, 4.07407E-07 
-166.5, 76.5, 5.30864E-07 
-157.5, 76.5, 4.44444E-07 
-148.5, 76.5, 4.69136E-07 
-139.5, 76.5, 4.19753E-07 
-130.5, 76.5, 3.45679E-07 
-121.5, 76.5, 3.33333E-07 
-112.5, 76.5, 5.06173E-07 
-103.5, 76.5, 6.17284E-07 
-94.5, 76.5, 9.01235E-07 
-85.5, 76.5, 1.98765E-06 
-76.5, 76.5, 2.03704E-06 
-67.5, 76.5, 1.12346E-06 
-58.5, 76.5, 2.96296E-07 
-49.5, 76.5, 2.46914E-08 
-40.5, 76.5, 1.23457E-08 
-31.5, 76.5, 0.00000E+00 
-22.5, 76.5, 0.00000E+00 
-13.5, 76.5, 0.00000E+00 
-4.5, 76.5, 0.00000E+00 
4.5, 76.5, 0.00000E+00 
13.5, 76.5, 0.00000E+00 
22.5, 76.5, 1.23457E-08 
31.5, 76.5, 7.40741E-08 
40.5, 76.5, 6.17284E-08 
49.5, 76.5, 3.08642E-07 
58.5, 76.5, 7.40741E-07 
67.5, 76.5, 1.46914E-06 
76.5, 76.5, 2.04938E-06 
85.5, 76.5, 1.71605E-06 
94.5, 76.5, 1.58025E-06 
103.5, 76.5, 1.06173E-06 
112.5, 76.5, 6.79012E-07 
121.5, 76.5, 4.19753E-07 
130.5, 76.5, 4.07407E-07 
139.5, 76.5, 5.18519E-07 
148.5, 76.5, 4.19753E-07 
157.5, 76.5, 3.82716E-07 
166.5, 76.5, 3.45679E-07 
175.5, 76.5, 3.95062E-07 
-175.5, 67.5, 4.81481E-07 
-166.5, 67.5, 5.92593E-07 
-157.5, 67.5, 6.66667E-07 
-148.5, 67.5, 4.32099E-07 
-139.5, 67.5, 5.67901E-07 
-130.5, 67.5, 6.29630E-07 
-121.5, 67.5, 4.81481E-07 
-112.5, 67.5, 5.06173E-07 
-103.5, 67.5, 7.53086E-07 
-94.5, 67.5, 1.41975E-06 
-85.5, 67.5, 2.71605E-06 
-76.5, 67.5, 2.86420E-06 
-67.5, 67.5, 1.11111E-06 
-58.5, 67.5, 2.22222E-07 
-49.5, 67.5, 0.00000E+00 
-40.5, 67.5, 0.00000E+00 
-31.5, 67.5, 0.00000E+00 
-22.5, 67.5, 0.00000E+00 
-13.5, 67.5, 0.00000E+00 
-4.5, 67.5, 0.00000E+00 
4.5, 67.5, 0.00000E+00 
13.5, 67.5, 1.23457E-08 
22.5, 67.5, 2.46914E-08 
31.5, 67.5, 1.48148E-07 
40.5, 67.5, 3.45679E-07 
49.5, 67.5, 1.07407E-06 
58.5, 67.5, 2.13580E-06 
67.5, 67.5, 2.91358E-06 
76.5, 67.5, 3.35802E-06 
85.5, 67.5, 2.83951E-06 
94.5, 67.5, 2.13580E-06 
103.5, 67.5, 1.40741E-06 
112.5, 67.5, 9.50617E-07 
121.5, 67.5, 6.79012E-07 
130.5, 67.5, 3.58025E-07 
139.5, 67.5, 2.71605E-07 
148.5, 67.5, 2.09877E-07 
157.5, 67.5, 2.46914E-07 
166.5, 67.5, 3.33333E-07 
175.5, 67.5, 3.95062E-07 
-175.5, 58.5, 4.44444E-07 
-166.5, 58.5, 7.40741E-07 
-157.5, 58.5, 8.27160E-07 
-148.5, 58.5, 1.06173E-06 
-139.5, 58.5, 1.02469E-06 
-130.5, 58.5, 8.39506E-07 
-121.5, 58.5, 9.87654E-07 
-112.5, 58.5, 1.01235E-06 
-103.5, 58.5, 1.33333E-06 
-94.5, 58.5, 2.46914E-06 
-85.5, 58.5, 4.92593E-06 
-76.5, 58.5, 4.83951E-06 
-67.5, 58.5, 1.82716E-06 
-58.5, 58.5, 2.59259E-07 
-49.5, 58.5, 3.70370E-08 
-40.5, 58.5, 0.00000E+00 
-31.5, 58.5, 0.00000E+00 
-22.5, 58.5, 0.00000E+00 
-13.5, 58.5, 0.00000E+00 
-4.5, 58.5, 0.00000E+00 
4.5, 58.5, 0.00000E+00 
13.5, 58.5, 0.00000E+00 
22.5, 58.5, 2.46914E-08 
31.5, 58.5, 1.11111E-07 
40.5, 58.5, 7.03704E-07 
49.5, 58.5, 2.08642E-06 
58.5, 58.5, 4.19753E-06 
67.5, 58.5, 6.69136E-06 
76.5, 58.5, 7.37037E-06 
85.5, 58.5, 5.01235E-06 
94.5, 58.5, 3.92593E-06 
103.5, 58.5, 2.27160E-06 
112.5, 58.5, 1.20988E-06 
121.5, 58.5, 7.77778E-07 
130.5, 58.5, 3.82716E-07 
139.5, 58.5, 3.33333E-07 
148.5, 58.5, 3.08642E-07 
157.5, 58.5, 2.96296E-07 
166.5, 58.5, 3.33333E-07 
175.5, 58.5, 4.44444E-07 
-175.5, 49.5, 3.95062E-07 
-166.5, 49.5, 9.01235E-07 
-157.5, 49.5, 1.24691E-06 
-148.5, 49.5, 1.51852E-06 
-139.5, 49.5, 1.93827E-06 
-130.5, 49.5, 1.85185E-06 
-121.5, 49.5, 1.90123E-06 
-112.5, 49.5, 1.91358E-06 
-103.5, 49.5, 2.37037E-06 
-94.5, 49.5, 4.51852E-06 
-85.5, 49.5, 7.58025E-06 
-76.5, 49.5, 6.96296E-06 
-67.5, 49.5, 2.74074E-06 
