x, y, probability density 
-175.5, 175.5, 0.00000E+00 
-166.5, 175.5, 0.00000E+00 
-157.5, 175.5, 2.46914E-08 
-148.5, 175.5, 2.46914E-08 
-139.5, 175.5, 1.72840E-07 
-130.5, 175.5, 1.18519E-06 
-121.5, 175.5, 4.34568E-06 
-112.5, 175.5, 1.11605E-05 
-103.5, 175.5, 1.89630E-05 
-94.5, 175.5, 2.37531E-05 
-85.5, 175.5, 2.48148E-05 
-76.5, 175.5, 2.01975E-05 
-67.5, 175.5, 1.22469E-05 
-58.5, 175.5, 3.06173E-06 
-49.5, 175.5, 3.45679E-07 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 0.00000E+00 
58.5, 175.5, 4.93827E-08 
67.5, 175.5, 7.40741E-08 
76.5, 175.5, 0.00000E+00 
85.5, 175.5, 0.00000E+00 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 0.00000E+00 
175.5, 175.5, 0.00000E+00 
-175.5, 166.5, 0.00000E+00 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 1.23457E-07 
-148.5, 166.5, 1.48148E-07 
-139.5, 166.5, 5.18519E-07 
-130.5, 166.5, 2.00000E-06 
-121.5, 166.5, 8.14815E-06 
-112.5, 166.5, 1.74815E-05 
-103.5, 166.5, 3.18272E-05 
-94.5, 166.5, 4.01481E-05 
-85.5, 166.5, 4.33086E-05 
-76.5, 166.5, 4.32099E-05 
-67.5, 166.5, 2.59259E-05 
-58.5, 166.5, 8.54321E-06 
-49.5, 166.5, 1.38272E-06 
-40.5, 166.5, 1.23457E-07 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 0.00000E+00 
58.5, 166.5, 2.46914E-08 
67.5, 166.5, 4.93827E-08 
76.5, 166.5, 0.00000E+00 
85.5, 166.5, 0.00000E+00 
94.5, 166.5, 0.00000E+00 
103.5, 166.5, 0.00000E+00 
