x, y, probability density 
-175.5, 175.5, 3.62963E-06 
-166.5, 175.5, 1.08395E-05 
-157.5, 175.5, 1.84691E-05 
-148.5, 175.5, 2.11852E-05 
-139.5, 175.5, 2.29877E-05 
-130.5, 175.5, 2.25185E-05 
-121.5, 175.5, 2.21728E-05 
-112.5, 175.5, 1.79506E-05 
-103.5, 175.5, 1.87407E-05 
-94.5, 175.5, 2.16543E-05 
-85.5, 175.5, 2.61481E-05 
-76.5, 175.5, 3.24691E-05 
-67.5, 175.5, 2.46420E-05 
-58.5, 175.5, 9.53086E-06 
-49.5, 175.5, 1.55556E-06 
-40.5, 175.5, 4.93827E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 2.46914E-08 
49.5, 175.5, 9.87654E-08 
58.5, 175.5, 3.20988E-07 
67.5, 175.5, 8.14815E-07 
76.5, 175.5, 4.19753E-07 
85.5, 175.5, 1.23457E-07 
94.5, 175.5, 2.46914E-08 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 2.46914E-08 
175.5, 175.5, 5.43210E-07 
-175.5, 166.5, 7.77778E-06 
-166.5, 166.5, 2.41481E-05 
-157.5, 166.5, 3.80741E-05 
-148.5, 166.5, 4.81481E-05 
-139.5, 166.5, 5.34321E-05 
-130.5, 166.5, 5.16296E-05 
-121.5, 166.5, 4.57284E-05 
-112.5, 166.5, 4.00741E-05 
-103.5, 166.5, 4.18272E-05 
-94.5, 166.5, 4.88395E-05 
-85.5, 166.5, 6.73333E-05 
-76.5, 166.5, 8.28642E-05 
-67.5, 166.5, 7.92099E-05 
