x, y, probability density 
-175.5, 175.5, 1.23457E-07 
-166.5, 175.5, 6.91358E-07 
-157.5, 175.5, 3.01235E-06 
-148.5, 175.5, 9.90123E-06 
-139.5, 175.5, 2.12593E-05 
-130.5, 175.5, 3.06173E-05 
-121.5, 175.5, 3.26667E-05 
-112.5, 175.5, 2.66914E-05 
-103.5, 175.5, 1.86914E-05 
-94.5, 175.5, 1.35802E-05 
-85.5, 175.5, 1.38519E-05 
-76.5, 175.5, 1.20494E-05 
-67.5, 175.5, 8.17284E-06 
-58.5, 175.5, 3.01235E-06 
-49.5, 175.5, 1.48148E-07 
-40.5, 175.5, 4.93827E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 2.46914E-08 
58.5, 175.5, 0.00000E+00 
67.5, 175.5, 0.00000E+00 
76.5, 175.5, 0.00000E+00 
85.5, 175.5, 0.00000E+00 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 0.00000E+00 
175.5, 175.5, 0.00000E+00 
-175.5, 166.5, 5.92593E-07 
-166.5, 166.5, 3.30864E-06 
-157.5, 166.5, 1.03457E-05 
-148.5, 166.5, 2.62469E-05 
-139.5, 166.5, 4.93827E-05 
-130.5, 166.5, 6.53827E-05 
-121.5, 166.5, 6.72346E-05 
-112.5, 166.5, 5.54074E-05 
-103.5, 166.5, 3.97778E-05 
-94.5, 166.5, 3.37037E-05 
-85.5, 166.5, 3.44691E-05 
-76.5, 166.5, 3.61975E-05 
-67.5, 166.5, 2.88148E-05 
-58.5, 166.5, 1.11111E-05 
-49.5, 166.5, 2.41975E-06 
-40.5, 166.5, 1.72840E-07 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 4.93827E-08 
58.5, 166.5, 4.93827E-08 
67.5, 166.5, 2.46914E-08 
76.5, 166.5, 2.46914E-08 
85.5, 166.5, 0.00000E+00 
94.5, 166.5, 0.00000E+00 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 0.00000E+00 
166.5, 166.5, 0.00000E+00 
175.5, 166.5, 1.48148E-07 
-175.5, 157.5, 1.87654E-06 
-166.5, 157.5, 8.64198E-06 
-157.5, 157.5, 2.25926E-05 
-148.5, 157.5, 4.67160E-05 
-139.5, 157.5, 7.84938E-05 
-130.5, 157.5, 1.04148E-04 
-121.5, 157.5, 1.08370E-04 
-112.5, 157.5, 8.64444E-05 
-103.5, 157.5, 7.02963E-05 
-94.5, 157.5, 5.88642E-05 
-85.5, 157.5, 6.61728E-05 
-76.5, 157.5, 7.27407E-05 
-67.5, 157.5, 6.27160E-05 
-58.5, 157.5, 3.38272E-05 
-49.5, 157.5, 9.06173E-06 
-40.5, 157.5, 1.30864E-06 
-31.5, 157.5, 4.93827E-08 
