x, y, probability density 
-175.5, 175.5, 8.14815E-07 
-166.5, 175.5, 3.18519E-06 
-157.5, 175.5, 7.18519E-06 
-148.5, 175.5, 8.71605E-06 
-139.5, 175.5, 9.25926E-06 
-130.5, 175.5, 1.05926E-05 
-121.5, 175.5, 1.52346E-05 
-112.5, 175.5, 1.91852E-05 
-103.5, 175.5, 2.21975E-05 
-94.5, 175.5, 2.47407E-05 
-85.5, 175.5, 2.92593E-05 
-76.5, 175.5, 2.72840E-05 
-67.5, 175.5, 1.62716E-05 
-58.5, 175.5, 5.23457E-06 
-49.5, 175.5, 9.13580E-07 
-40.5, 175.5, 7.40741E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 9.87654E-08 
58.5, 175.5, 2.46914E-07 
67.5, 175.5, 3.45679E-07 
76.5, 175.5, 1.97531E-07 
85.5, 175.5, 0.00000E+00 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 0.00000E+00 
175.5, 175.5, 7.40741E-08 
-175.5, 166.5, 1.40741E-06 
-166.5, 166.5, 4.76543E-06 
-157.5, 166.5, 8.96296E-06 
-148.5, 166.5, 1.17531E-05 
-139.5, 166.5, 1.34568E-05 
-130.5, 166.5, 1.92840E-05 
-121.5, 166.5, 2.50123E-05 
-112.5, 166.5, 3.39506E-05 
-103.5, 166.5, 3.90123E-05 
-94.5, 166.5, 4.58765E-05 
-85.5, 166.5, 5.35556E-05 
-76.5, 166.5, 5.69136E-05 
-67.5, 166.5, 3.96049E-05 
-58.5, 166.5, 1.76790E-05 
-49.5, 166.5, 3.23457E-06 
-40.5, 166.5, 1.48148E-07 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 2.46914E-08 
49.5, 166.5, 4.93827E-08 
58.5, 166.5, 9.87654E-08 
67.5, 166.5, 1.72840E-07 
76.5, 166.5, 1.72840E-07 
85.5, 166.5, 4.93827E-08 
94.5, 166.5, 0.00000E+00 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 0.00000E+00 
166.5, 166.5, 0.00000E+00 
175.5, 166.5, 1.72840E-07 
-175.5, 157.5, 1.28395E-06 
-166.5, 157.5, 5.38272E-06 
-157.5, 157.5, 1.04198E-05 
-148.5, 157.5, 1.26914E-05 
-139.5, 157.5, 1.98765E-05 
-130.5, 157.5, 2.89877E-05 
-121.5, 157.5, 3.88395E-05 
-112.5, 157.5, 5.02963E-05 
-103.5, 157.5, 6.00494E-05 
-94.5, 157.5, 7.21728E-05 
-85.5, 157.5, 8.90123E-05 
-76.5, 157.5, 9.72593E-05 
-67.5, 157.5, 8.11605E-05 
-58.5, 157.5, 4.03704E-05 
-49.5, 157.5, 8.91358E-06 
-40.5, 157.5, 8.64198E-07 
-31.5, 157.5, 2.46914E-08 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 0.00000E+00 
58.5, 157.5, 2.71605E-07 
67.5, 157.5, 2.46914E-07 
76.5, 157.5, 3.20988E-07 
85.5, 157.5, 7.40741E-08 
94.5, 157.5, 0.00000E+00 
103.5, 157.5, 0.00000E+00 
112.5, 157.5, 0.00000E+00 
121.5, 157.5, 0.00000E+00 
130.5, 157.5, 0.00000E+00 
139.5, 157.5, 0.00000E+00 
148.5, 157.5, 0.00000E+00 
157.5, 157.5, 0.00000E+00 
166.5, 157.5, 2.46914E-08 
175.5, 157.5, 9.87654E-08 
-175.5, 148.5, 8.64198E-07 
-166.5, 148.5, 5.58025E-06 
