x, y, probability density 
-175.5, 175.5, 2.49383E-06 
-166.5, 175.5, 5.85185E-06 
-157.5, 175.5, 1.12099E-05 
-148.5, 175.5, 1.59753E-05 
-139.5, 175.5, 2.03704E-05 
-130.5, 175.5, 2.21728E-05 
-121.5, 175.5, 2.18519E-05 
-112.5, 175.5, 2.25679E-05 
-103.5, 175.5, 2.16790E-05 
-94.5, 175.5, 2.61481E-05 
-85.5, 175.5, 2.80988E-05 
-76.5, 175.5, 2.65185E-05 
-67.5, 175.5, 1.60000E-05 
-58.5, 175.5, 5.92593E-06 
-49.5, 175.5, 6.66667E-07 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 2.46914E-08 
49.5, 175.5, 4.19753E-07 
58.5, 175.5, 1.75309E-06 
67.5, 175.5, 3.45679E-06 
76.5, 175.5, 1.77778E-06 
85.5, 175.5, 6.41975E-07 
94.5, 175.5, 1.23457E-07 
103.5, 175.5, 2.46914E-08 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 4.93827E-08 
175.5, 175.5, 5.92593E-07 
-175.5, 166.5, 5.43210E-06 
-166.5, 166.5, 1.34815E-05 
-157.5, 166.5, 2.42716E-05 
-148.5, 166.5, 3.77037E-05 
-139.5, 166.5, 4.86173E-05 
-130.5, 166.5, 5.20988E-05 
-121.5, 166.5, 5.19506E-05 
-112.5, 166.5, 5.12840E-05 
-103.5, 166.5, 5.49630E-05 
-94.5, 166.5, 6.24444E-05 
-85.5, 166.5, 7.29136E-05 
-76.5, 166.5, 7.42716E-05 
-67.5, 166.5, 5.74074E-05 
-58.5, 166.5, 2.19259E-05 
-49.5, 166.5, 3.70370E-06 
-40.5, 166.5, 1.97531E-07 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 2.46914E-08 
49.5, 166.5, 3.45679E-07 
58.5, 166.5, 2.22222E-06 
67.5, 166.5, 4.14815E-06 
76.5, 166.5, 3.72840E-06 
85.5, 166.5, 1.18519E-06 
94.5, 166.5, 3.45679E-07 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 2.46914E-08 
166.5, 166.5, 1.72840E-07 
175.5, 166.5, 8.14815E-07 
-175.5, 157.5, 7.23457E-06 
-166.5, 157.5, 2.12840E-05 
-157.5, 157.5, 3.91358E-05 
-148.5, 157.5, 5.99012E-05 
-139.5, 157.5, 7.70864E-05 
-130.5, 157.5, 8.50123E-05 
-121.5, 157.5, 8.57531E-05 
-112.5, 157.5, 8.55556E-05 
