x, y, probability density 
-175.5, 175.5, 2.71605E-07 
-166.5, 175.5, 2.46914E-08 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 1.48148E-07 
-76.5, 175.5, 3.70370E-07 
-67.5, 175.5, 7.40741E-07 
-58.5, 175.5, 3.45679E-07 
-49.5, 175.5, 1.48148E-07 
-40.5, 175.5, 2.46914E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 4.93827E-08 
58.5, 175.5, 9.62963E-07 
67.5, 175.5, 3.82716E-06 
76.5, 175.5, 7.67901E-06 
85.5, 175.5, 9.23457E-06 
94.5, 175.5, 7.85185E-06 
103.5, 175.5, 6.69136E-06 
112.5, 175.5, 6.41975E-06 
121.5, 175.5, 6.44444E-06 
130.5, 175.5, 7.03704E-06 
139.5, 175.5, 7.11111E-06 
148.5, 175.5, 6.56790E-06 
157.5, 175.5, 5.75309E-06 
166.5, 175.5, 3.55556E-06 
175.5, 175.5, 9.62963E-07 
-175.5, 166.5, 4.93827E-08 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 2.46914E-08 
-76.5, 166.5, 3.20988E-07 
-67.5, 166.5, 8.14815E-07 
-58.5, 166.5, 4.69136E-07 
-49.5, 166.5, 1.48148E-07 
-40.5, 166.5, 0.00000E+00 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 4.93827E-08 
58.5, 166.5, 1.97531E-07 
67.5, 166.5, 7.16049E-07 
76.5, 166.5, 2.19753E-06 
85.5, 166.5, 2.91358E-06 
94.5, 166.5, 3.16049E-06 
103.5, 166.5, 2.56790E-06 
112.5, 166.5, 2.51852E-06 
121.5, 166.5, 2.44444E-06 
130.5, 166.5, 2.66667E-06 
139.5, 166.5, 2.12346E-06 
148.5, 166.5, 1.72840E-06 
157.5, 166.5, 1.58025E-06 
166.5, 166.5, 9.13580E-07 
175.5, 166.5, 3.20988E-07 
-175.5, 157.5, 2.46914E-08 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 4.93827E-08 
-85.5, 157.5, 1.72840E-07 
-76.5, 157.5, 5.43210E-07 
-67.5, 157.5, 7.90123E-07 
-58.5, 157.5, 6.91358E-07 
-49.5, 157.5, 2.96296E-07 
-40.5, 157.5, 9.87654E-08 
-31.5, 157.5, 2.46914E-08 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 0.00000E+00 
58.5, 157.5, 4.93827E-08 
67.5, 157.5, 2.96296E-07 
76.5, 157.5, 7.90123E-07 
85.5, 157.5, 1.45679E-06 
94.5, 157.5, 1.25926E-06 
103.5, 157.5, 1.60494E-06 
112.5, 157.5, 1.50617E-06 
121.5, 157.5, 1.38272E-06 
130.5, 157.5, 1.35802E-06 
139.5, 157.5, 1.67901E-06 
148.5, 157.5, 1.06173E-06 
157.5, 157.5, 5.92593E-07 
166.5, 157.5, 3.20988E-07 
175.5, 157.5, 4.93827E-08 
-175.5, 148.5, 2.46914E-08 
-166.5, 148.5, 0.00000E+00 
-157.5, 148.5, 0.00000E+00 
-148.5, 148.5, 0.00000E+00 
-139.5, 148.5, 0.00000E+00 
-130.5, 148.5, 0.00000E+00 
-121.5, 148.5, 0.00000E+00 
-112.5, 148.5, 0.00000E+00 
-103.5, 148.5, 0.00000E+00 
-94.5, 148.5, 0.00000E+00 
-85.5, 148.5, 2.96296E-07 
-76.5, 148.5, 4.69136E-07 
-67.5, 148.5, 1.11111E-06 
-58.5, 148.5, 1.80247E-06 
-49.5, 148.5, 9.87654E-07 
-40.5, 148.5, 5.92593E-07 
-31.5, 148.5, 4.93827E-08 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 0.00000E+00 
58.5, 148.5, 0.00000E+00 
67.5, 148.5, 1.72840E-07 
76.5, 148.5, 3.20988E-07 
85.5, 148.5, 9.62963E-07 
94.5, 148.5, 1.45679E-06 
103.5, 148.5, 1.33333E-06 
112.5, 148.5, 1.92593E-06 
121.5, 148.5, 1.67901E-06 
130.5, 148.5, 1.43210E-06 
139.5, 148.5, 7.90123E-07 
148.5, 148.5, 5.18519E-07 
157.5, 148.5, 4.44444E-07 
166.5, 148.5, 1.48148E-07 
175.5, 148.5, 2.46914E-08 
-175.5, 139.5, 2.46914E-08 
-166.5, 139.5, 0.00000E+00 
-157.5, 139.5, 0.00000E+00 
-148.5, 139.5, 0.00000E+00 
-139.5, 139.5, 0.00000E+00 
-130.5, 139.5, 0.00000E+00 
-121.5, 139.5, 0.00000E+00 
-112.5, 139.5, 0.00000E+00 
-103.5, 139.5, 0.00000E+00 
-94.5, 139.5, 0.00000E+00 
-85.5, 139.5, 1.72840E-07 
-76.5, 139.5, 1.01235E-06 
-67.5, 139.5, 1.67901E-06 
