x, y, probability density 
-175.5, 175.5, 4.93827E-08 
-166.5, 175.5, 2.46914E-08 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 2.46914E-08 
-76.5, 175.5, 6.41975E-07 
-67.5, 175.5, 5.92593E-07 
-58.5, 175.5, 7.90123E-07 
-49.5, 175.5, 1.48148E-07 
-40.5, 175.5, 4.93827E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 9.87654E-08 
58.5, 175.5, 1.33333E-06 
67.5, 175.5, 5.13580E-06 
76.5, 175.5, 1.09383E-05 
85.5, 175.5, 1.40494E-05 
94.5, 175.5, 1.42963E-05 
103.5, 175.5, 1.47901E-05 
112.5, 175.5, 1.65679E-05 
121.5, 175.5, 1.71852E-05 
130.5, 175.5, 1.67901E-05 
139.5, 175.5, 1.25926E-05 
148.5, 175.5, 7.90123E-06 
157.5, 175.5, 4.59259E-06 
166.5, 175.5, 2.09877E-06 
175.5, 175.5, 6.66667E-07 
-175.5, 166.5, 0.00000E+00 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 2.46914E-08 
-76.5, 166.5, 4.44444E-07 
-67.5, 166.5, 8.39506E-07 
-58.5, 166.5, 7.65432E-07 
-49.5, 166.5, 2.22222E-07 
-40.5, 166.5, 2.46914E-08 
-31.5, 166.5, 2.46914E-08 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 2.46914E-08 
58.5, 166.5, 2.46914E-07 
67.5, 166.5, 1.33333E-06 
76.5, 166.5, 3.75309E-06 
85.5, 166.5, 5.30864E-06 
94.5, 166.5, 6.88889E-06 
103.5, 166.5, 7.62963E-06 
112.5, 166.5, 8.86420E-06 
121.5, 166.5, 9.08642E-06 
130.5, 166.5, 7.85185E-06 
139.5, 166.5, 4.79012E-06 
148.5, 166.5, 3.01235E-06 
157.5, 166.5, 1.72840E-06 
166.5, 166.5, 6.17284E-07 
175.5, 166.5, 9.87654E-08 
-175.5, 157.5, 0.00000E+00 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 2.46914E-08 
-85.5, 157.5, 2.46914E-08 
-76.5, 157.5, 4.19753E-07 
-67.5, 157.5, 1.06173E-06 
-58.5, 157.5, 1.65432E-06 
-49.5, 157.5, 7.65432E-07 
-40.5, 157.5, 4.93827E-08 
-31.5, 157.5, 0.00000E+00 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
