x, y, probability density 
-175.5, 175.5, 1.85185E-07 
-166.5, 175.5, 1.23457E-08 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 1.11111E-07 
-76.5, 175.5, 4.56790E-07 
-67.5, 175.5, 1.00000E-06 
-58.5, 175.5, 6.91358E-07 
-49.5, 175.5, 1.85185E-07 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 1.23457E-08 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 9.87654E-08 
58.5, 175.5, 6.66667E-07 
67.5, 175.5, 3.07407E-06 
76.5, 175.5, 6.41975E-06 
85.5, 175.5, 8.50617E-06 
94.5, 175.5, 8.20988E-06 
103.5, 175.5, 7.90123E-06 
112.5, 175.5, 8.38272E-06 
121.5, 175.5, 9.37037E-06 
130.5, 175.5, 9.45679E-06 
139.5, 175.5, 8.65432E-06 
148.5, 175.5, 7.46914E-06 
157.5, 175.5, 5.87654E-06 
166.5, 175.5, 3.92593E-06 
175.5, 175.5, 1.13580E-06 
-175.5, 166.5, 3.70370E-08 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 1.23457E-08 
-85.5, 166.5, 6.17284E-08 
-76.5, 166.5, 3.70370E-07 
-67.5, 166.5, 7.53086E-07 
-58.5, 166.5, 6.41975E-07 
-49.5, 166.5, 2.83951E-07 
-40.5, 166.5, 3.70370E-08 
-31.5, 166.5, 1.23457E-08 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
