x, y, probability density 
-175.5, 175.5, 5.82716E-06 
-166.5, 175.5, 2.06420E-05 
-157.5, 175.5, 3.85432E-05 
-148.5, 175.5, 5.16296E-05 
-139.5, 175.5, 4.83951E-05 
-130.5, 175.5, 4.16296E-05 
-121.5, 175.5, 3.60247E-05 
-112.5, 175.5, 3.36296E-05 
-103.5, 175.5, 3.26173E-05 
-94.5, 175.5, 4.43951E-05 
-85.5, 175.5, 5.58272E-05 
-76.5, 175.5, 6.16543E-05 
-67.5, 175.5, 3.67160E-05 
-58.5, 175.5, 1.19012E-05 
-49.5, 175.5, 1.11111E-06 
-40.5, 175.5, 2.46914E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 7.40741E-08 
49.5, 175.5, 5.43210E-07 
58.5, 175.5, 2.19753E-06 
67.5, 175.5, 4.19753E-06 
76.5, 175.5, 2.88889E-06 
85.5, 175.5, 8.39506E-07 
94.5, 175.5, 2.22222E-07 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 4.93827E-08 
175.5, 175.5, 9.13580E-07 
-175.5, 166.5, 1.23457E-05 
-166.5, 166.5, 3.95309E-05 
-157.5, 166.5, 7.77284E-05 
-148.5, 166.5, 9.64198E-05 
-139.5, 166.5, 9.14568E-05 
-130.5, 166.5, 7.95556E-05 
-121.5, 166.5, 6.69877E-05 
-112.5, 166.5, 6.03704E-05 
-103.5, 166.5, 6.34321E-05 
-94.5, 166.5, 8.31605E-05 
-85.5, 166.5, 1.20765E-04 
-76.5, 166.5, 1.46321E-04 
-67.5, 166.5, 1.06444E-04 
-58.5, 166.5, 3.96296E-05 
-49.5, 166.5, 7.80247E-06 
-40.5, 166.5, 6.66667E-07 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 3.20988E-07 
58.5, 166.5, 2.91358E-06 
67.5, 166.5, 6.02469E-06 
76.5, 166.5, 4.91358E-06 
85.5, 166.5, 1.16049E-06 
94.5, 166.5, 3.20988E-07 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
