x, y, probability density 
-175.5, 175.5, 1.35802E-07 
-166.5, 175.5, 0.00000E+00 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 9.87654E-08 
-85.5, 175.5, 2.83951E-07 
-76.5, 175.5, 1.00000E-06 
-67.5, 175.5, 1.83951E-06 
-58.5, 175.5, 1.13580E-06 
-49.5, 175.5, 5.30864E-07 
-40.5, 175.5, 9.87654E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 1.23457E-08 
58.5, 175.5, 7.65432E-07 
67.5, 175.5, 3.86420E-06 
76.5, 175.5, 9.14815E-06 
85.5, 175.5, 1.56667E-05 
94.5, 175.5, 1.99012E-05 
103.5, 175.5, 2.93210E-05 
112.5, 175.5, 4.00617E-05 
121.5, 175.5, 5.08889E-05 
130.5, 175.5, 5.37654E-05 
139.5, 175.5, 4.23333E-05 
148.5, 175.5, 2.80494E-05 
157.5, 175.5, 1.18765E-05 
166.5, 175.5, 4.30864E-06 
175.5, 175.5, 9.75309E-07 
-175.5, 166.5, 8.64198E-08 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 1.23457E-08 
-94.5, 166.5, 3.70370E-08 
-85.5, 166.5, 1.23457E-07 
-76.5, 166.5, 7.16049E-07 
-67.5, 166.5, 1.22222E-06 
-58.5, 166.5, 1.20988E-06 
-49.5, 166.5, 6.17284E-07 
-40.5, 166.5, 1.23457E-07 
-31.5, 166.5, 1.23457E-08 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 0.00000E+00 
58.5, 166.5, 1.11111E-07 
67.5, 166.5, 9.75309E-07 
76.5, 166.5, 3.03704E-06 
85.5, 166.5, 5.80247E-06 
94.5, 166.5, 8.82716E-06 
103.5, 166.5, 1.33704E-05 
112.5, 166.5, 1.86420E-05 
121.5, 166.5, 2.48765E-05 
130.5, 166.5, 2.40370E-05 
139.5, 166.5, 1.82963E-05 
148.5, 166.5, 1.07778E-05 
157.5, 166.5, 5.17284E-06 
166.5, 166.5, 1.67901E-06 
175.5, 166.5, 2.83951E-07 
-175.5, 157.5, 6.17284E-08 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 3.70370E-08 
-85.5, 157.5, 1.35802E-07 
-76.5, 157.5, 3.82716E-07 
-67.5, 157.5, 6.79012E-07 
-58.5, 157.5, 8.27160E-07 
-49.5, 157.5, 5.55556E-07 
-40.5, 157.5, 8.64198E-08 
-31.5, 157.5, 2.46914E-08 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 0.00000E+00 
58.5, 157.5, 1.23457E-08 
67.5, 157.5, 2.34568E-07 
76.5, 157.5, 9.25926E-07 
85.5, 157.5, 2.39506E-06 
94.5, 157.5, 4.46914E-06 
103.5, 157.5, 6.69136E-06 
112.5, 157.5, 9.55556E-06 
121.5, 157.5, 1.13457E-05 
130.5, 157.5, 1.03827E-05 
139.5, 157.5, 7.16049E-06 
148.5, 157.5, 4.09877E-06 
157.5, 157.5, 2.01235E-06 
166.5, 157.5, 6.29630E-07 
175.5, 157.5, 9.87654E-08 
-175.5, 148.5, 1.23457E-08 
-166.5, 148.5, 0.00000E+00 
-157.5, 148.5, 0.00000E+00 
-148.5, 148.5, 0.00000E+00 
-139.5, 148.5, 0.00000E+00 
-130.5, 148.5, 0.00000E+00 
-121.5, 148.5, 0.00000E+00 
-112.5, 148.5, 0.00000E+00 
-103.5, 148.5, 0.00000E+00 
-94.5, 148.5, 1.23457E-08 
-85.5, 148.5, 4.93827E-08 
-76.5, 148.5, 1.23457E-07 
-67.5, 148.5, 4.44444E-07 
-58.5, 148.5, 5.92593E-07 
-49.5, 148.5, 5.80247E-07 
-40.5, 148.5, 2.71605E-07 
-31.5, 148.5, 2.46914E-08 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 0.00000E+00 
58.5, 148.5, 2.46914E-08 
67.5, 148.5, 6.17284E-08 
76.5, 148.5, 3.08642E-07 
85.5, 148.5, 9.75309E-07 
94.5, 148.5, 2.07407E-06 
103.5, 148.5, 3.71605E-06 
112.5, 148.5, 4.79012E-06 
121.5, 148.5, 5.82716E-06 
130.5, 148.5, 4.82716E-06 
139.5, 148.5, 3.27160E-06 
148.5, 148.5, 1.72840E-06 
157.5, 148.5, 7.40741E-07 
166.5, 148.5, 2.96296E-07 
175.5, 148.5, 6.17284E-08 
-175.5, 139.5, 0.00000E+00 
-166.5, 139.5, 0.00000E+00 
-157.5, 139.5, 0.00000E+00 
-148.5, 139.5, 0.00000E+00 
-139.5, 139.5, 0.00000E+00 
-130.5, 139.5, 0.00000E+00 
-121.5, 139.5, 0.00000E+00 
-112.5, 139.5, 0.00000E+00 
-103.5, 139.5, 0.00000E+00 
-94.5, 139.5, 1.23457E-08 
-85.5, 139.5, 1.23457E-08 
-76.5, 139.5, 7.40741E-08 
-67.5, 139.5, 3.58025E-07 
-58.5, 139.5, 6.54321E-07 
-49.5, 139.5, 6.41975E-07 
-40.5, 139.5, 4.19753E-07 
-31.5, 139.5, 7.40741E-08 
-22.5, 139.5, 4.93827E-08 
-13.5, 139.5, 0.00000E+00 
-4.5, 139.5, 0.00000E+00 
4.5, 139.5, 0.00000E+00 
13.5, 139.5, 0.00000E+00 
22.5, 139.5, 0.00000E+00 
31.5, 139.5, 0.00000E+00 
40.5, 139.5, 0.00000E+00 
49.5, 139.5, 0.00000E+00 
58.5, 139.5, 1.23457E-08 
67.5, 139.5, 1.23457E-08 
76.5, 139.5, 2.46914E-07 
85.5, 139.5, 5.80247E-07 
94.5, 139.5, 1.08642E-06 
103.5, 139.5, 2.00000E-06 
112.5, 139.5, 3.00000E-06 
121.5, 139.5, 3.59259E-06 
130.5, 139.5, 3.08642E-06 
139.5, 139.5, 1.65432E-06 
148.5, 139.5, 6.04938E-07 
157.5, 139.5, 2.22222E-07 
166.5, 139.5, 4.93827E-08 
175.5, 139.5, 0.00000E+00 
-175.5, 130.5, 1.23457E-08 
-166.5, 130.5, 0.00000E+00 
-157.5, 130.5, 0.00000E+00 
-148.5, 130.5, 0.00000E+00 
-139.5, 130.5, 0.00000E+00 
-130.5, 130.5, 0.00000E+00 
-121.5, 130.5, 0.00000E+00 
-112.5, 130.5, 0.00000E+00 
-103.5, 130.5, 0.00000E+00 
-94.5, 130.5, 0.00000E+00 
-85.5, 130.5, 2.46914E-08 
-76.5, 130.5, 8.64198E-08 
-67.5, 130.5, 1.60494E-07 
-58.5, 130.5, 2.34568E-07 
-49.5, 130.5, 3.95062E-07 
-40.5, 130.5, 3.70370E-07 
-31.5, 130.5, 1.35802E-07 
-22.5, 130.5, 3.70370E-08 
-13.5, 130.5, 1.23457E-08 
-4.5, 130.5, 0.00000E+00 
4.5, 130.5, 0.00000E+00 
13.5, 130.5, 0.00000E+00 
22.5, 130.5, 0.00000E+00 
31.5, 130.5, 0.00000E+00 
40.5, 130.5, 0.00000E+00 
49.5, 130.5, 0.00000E+00 
58.5, 130.5, 0.00000E+00 
