x, y, probability density 
-175.5, 175.5, 4.93827E-06 
-166.5, 175.5, 1.84198E-05 
-157.5, 175.5, 2.84691E-05 
-148.5, 175.5, 2.97531E-05 
-139.5, 175.5, 2.53086E-05 
-130.5, 175.5, 2.27901E-05 
-121.5, 175.5, 1.91358E-05 
-112.5, 175.5, 1.80988E-05 
-103.5, 175.5, 1.93333E-05 
-94.5, 175.5, 2.37778E-05 
-85.5, 175.5, 3.05926E-05 
-76.5, 175.5, 3.16296E-05 
-67.5, 175.5, 1.93827E-05 
-58.5, 175.5, 5.92593E-06 
-49.5, 175.5, 7.90123E-07 
-40.5, 175.5, 4.93827E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 7.40741E-08 
58.5, 175.5, 3.45679E-07 
67.5, 175.5, 3.95062E-07 
76.5, 175.5, 3.95062E-07 
85.5, 175.5, 9.87654E-08 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 7.40741E-08 
175.5, 175.5, 7.16049E-07 
-175.5, 166.5, 1.10370E-05 
-166.5, 166.5, 3.56790E-05 
-157.5, 166.5, 5.60494E-05 
-148.5, 166.5, 5.95309E-05 
-139.5, 166.5, 5.32099E-05 
-130.5, 166.5, 4.50864E-05 
-121.5, 166.5, 4.12593E-05 
-112.5, 166.5, 3.91605E-05 
-103.5, 166.5, 4.31358E-05 
-94.5, 166.5, 5.44938E-05 
-85.5, 166.5, 7.56049E-05 
-76.5, 166.5, 8.47160E-05 
-67.5, 166.5, 6.06420E-05 
-58.5, 166.5, 2.43210E-05 
-49.5, 166.5, 4.66667E-06 
-40.5, 166.5, 6.41975E-07 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 0.00000E+00 
58.5, 166.5, 3.45679E-07 
67.5, 166.5, 5.92593E-07 
76.5, 166.5, 5.18519E-07 
85.5, 166.5, 2.22222E-07 
94.5, 166.5, 9.87654E-08 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 2.46914E-08 
166.5, 166.5, 1.48148E-07 
175.5, 166.5, 1.75309E-06 
-175.5, 157.5, 1.42716E-05 
-166.5, 157.5, 4.38765E-05 
-157.5, 157.5, 7.46173E-05 
-148.5, 157.5, 8.03704E-05 
